Test_Type,Config,Time_Sec
Kernel,direct,2.614227
Kernel,direct,2.610870
Kernel,direct,2.618263
Kernel,direct,2.611124
Kernel,direct,2.605402
Kernel,newton,1.774136
Kernel,newton,1.772887
Kernel,newton,1.770908
Kernel,newton,1.774501
Kernel,newton,1.767772
Math,exact,0.165092
Math,exact,0.175685
Math,exact,0.173178
Math,exact,0.164382
Math,exact,0.164928
Math,approx,0.126467
Math,approx,0.127196
Math,approx,0.119153
Math,approx,0.128111
Math,approx,0.120774
Comm,sendrecv,0.171375
Comm,sendrecv,0.164007
Comm,sendrecv,0.170059
Comm,sendrecv,0.194490
Comm,sendrecv,0.178193
Comm,overlap,0.184912
Comm,overlap,0.179263
Comm,overlap,0.167874
Comm,overlap,0.159365
Comm,overlap,0.169523
Accumulators,1,0.181146
Accumulators,1,0.164571
Accumulators,1,0.166777
Accumulators,1,0.165606
Accumulators,1,0.205608
Accumulators,2,0.188390
Accumulators,2,0.171431
Accumulators,2,0.165683
Accumulators,2,0.181521
Accumulators,2,0.174301
Accumulators,4,0.164570
Accumulators,4,0.175879
Accumulators,4,0.167125
Accumulators,4,0.165532
Accumulators,4,0.168064
Accumulators,8,0.177378
Accumulators,8,0.167570
Accumulators,8,0.170679
Accumulators,8,0.173844
Accumulators,8,0.167277
