Test_Type,Config,Time_Sec
Kernel,direct,43.934718
Kernel,direct,43.943200
Kernel,direct,43.936648
Kernel,direct,43.946089
Kernel,direct,44.249319
Kernel,newton,34.566179
Kernel,newton,34.512587
Kernel,newton,34.519650
Kernel,newton,34.517259
Kernel,newton,34.508422
Math,exact,1.007286
Math,exact,1.022674
Math,exact,1.018880
Math,exact,1.006853
Math,exact,1.014907
Math,approx,1.252006
Math,approx,1.247969
Math,approx,1.236535
Math,approx,1.252502
Math,approx,1.246056
Comm,sendrecv,1.020453
Comm,sendrecv,1.008732
Comm,sendrecv,1.025312
Comm,sendrecv,1.014100
Comm,sendrecv,1.009576
Comm,overlap,1.012685
Comm,overlap,0.993934
Comm,overlap,0.998404
Comm,overlap,1.013220
Comm,overlap,1.002167
Accumulators,1,1.047954
Accumulators,1,1.058697
Accumulators,1,1.058077
Accumulators,1,1.050706
Accumulators,1,1.067789
Accumulators,4,1.015007
Accumulators,4,1.008760
Accumulators,4,1.020645
Accumulators,4,1.028507
Accumulators,4,1.031045
