kind,N,ranks,threads,native_runs,container_runs,native_failed_runs,container_failed_runs,native_median,container_median,native_stdev,container_stdev,overhead_percent
strong,100000,1,1,1,1,0,0,5601.205062,5572.163219,0.0,0.0,-0.5184927650127866
strong,100000,2,1,1,1,0,0,1972.813314,1979.257467,0.0,0.0,0.32664788676501777
strong,100000,4,1,1,1,0,0,985.081333,988.692495,0.0,0.0,0.3665851619584021
strong,100000,8,1,1,1,0,0,492.908092,492.928994,0.0,0.0,0.004240547140374034
strong,100000,16,1,1,1,0,0,246.724236,246.815886,0.0,0.0,0.037146735758871924
strong,100000,32,1,1,1,0,0,124.803452,124.519908,0.0,0.0,-0.22719243374773965
weak,10000,1,1,1,1,0,0,55.87806,55.726009,0.0,0.0,-0.2721121671010056
weak,20000,2,1,1,1,0,0,78.793184,78.804802,0.0,0.0,0.014744930221373685
weak,40000,4,1,1,1,0,0,158.336819,158.360005,0.0,0.0,0.014643467101615638
weak,80000,8,1,1,1,0,0,315.659359,317.705142,0.0,0.0,0.648098319175776
weak,160000,16,1,1,1,0,0,635.43226,633.368861,0.0,0.0,-0.3247236770761377
