kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,64,1,1,kdk,overlap,direct,exact,4,double,0.167820,0.085021,0.000004,0.062282,0.025514,0.000009,0.025286,9.632661,OK,1.7300258984981847e-08
strong,10000,5,64,1,2,kdk,overlap,direct,exact,4,double,0.171181,0.088589,0.000004,0.061202,0.024418,0.000009,0.024940,9.802543,OK,1.0106599312269998e-07
strong,10000,5,64,1,3,kdk,overlap,direct,exact,4,double,0.154882,0.075520,0.000003,0.058988,0.021310,0.000009,0.023452,10.170605,OK,2.0452285850806521e-07
strong,10000,5,64,1,4,kdk,overlap,direct,exact,4,double,0.160780,0.077932,0.000004,0.061710,0.024133,0.000009,0.026069,9.721889,OK,2.9243207860967023e-07
strong,10000,5,64,1,5,kdk,overlap,direct,exact,4,double,0.167970,0.081984,0.000004,0.062542,0.024928,0.000010,0.027430,9.592657,OK,3.591509887214752e-08
weak,640000,5,64,1,1,kdk,overlap,direct,exact,4,double,194.811915,0.086701,0.000104,150.353513,1.164487,0.000314,44.466507,16.345452,OK,8.8018612273643682e-07
weak,640000,5,64,1,2,kdk,overlap,direct,exact,4,double,194.007215,0.089520,0.000100,149.568070,0.369216,0.000313,44.374161,16.431289,OK,6.6211193612215006e-07
weak,640000,5,64,1,3,kdk,overlap,direct,exact,4,double,193.968487,0.081745,0.000093,149.562526,0.331632,0.000299,44.342247,16.431898,OK,5.1021204387037311e-07
weak,640000,5,64,1,4,kdk,overlap,direct,exact,4,double,194.440977,0.088758,0.000096,150.020873,0.728534,0.000475,44.420198,16.381695,OK,1.0813211077130577e-06
weak,640000,5,64,1,5,kdk,overlap,direct,exact,4,double,194.992819,0.094593,0.000099,150.262559,1.058751,0.000312,44.779215,16.355346,OK,9.1684063876452377e-07
