kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,10000,5,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.003361000000000003,0.16782,0.006596208138013842,0.06171,0.024418,0.05833008436399378,9.721889,1.0,1.0,,True
weak,640000,5,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.43376200000000154,194.440977,0.4619161803279856,150.020873,0.728534,0.1245240441763871,16.381695,1.0,1.0,1.0,True
strong,10000,5,32,2,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0024319999999999897,0.105611,0.0053318973452233685,0.052748,0.006992,0.1998329519450801,11.373789,1.0,1.0,,True
weak,320000,5,32,2,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.09482000000000568,50.404653,0.12312455522681087,37.484654,0.167444,0.2665965934879721,16.390656,1.0,1.0,1.0,True
strong,10000,5,16,4,64,kdk,overlap,direct,exact,4,double,5,0,3,2,0.0007999999999999952,0.089548,0.0004076338226071668,0.053032,0.007263,0.18587360594795538,11.312884,1.0,1.0,,True
weak,160000,5,16,4,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.008240000000000691,13.101065,0.010174081015011133,9.452226,0.104995,0.20572408209914755,16.250039,1.0,1.0,1.0,True
strong,10000,5,8,8,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.002710999999999991,0.097883,0.005922253853052905,0.063556,0.016083,0.07834359261331841,9.439621,1.0,1.0,,True
weak,80000,5,8,8,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.005793999999999855,3.396174,0.006841580336442822,2.402409,0.061209,0.16468166446110866,15.983757,1.0,1.0,1.0,True
strong,10000,5,4,16,64,kdk,overlap,direct,exact,4,double,5,0,3,2,0.0006600000000000078,0.080225,0.000341469373931741,0.053439,0.005244,0.20594965675057206,11.226702,1.0,1.0,,True
weak,40000,5,4,16,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0050480000000000524,0.870869,0.00578223624560602,0.626509,0.044135999999999995,0.09787928221859707,15.322616499999999,1.0,1.0,1.0,True
strong,10000,5,2,32,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0017790000000000028,0.075418,0.003083871154896067,0.050737,0.001105,0.6515837104072398,11.824618,1.0,1.0,,True
weak,20000,5,2,32,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0022189999999999988,0.225694,0.0035322934900712845,0.159076,0.005373,0.26800670016750416,15.08642,1.0,1.0,1.0,True
strong,10000,5,1,64,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0002869999999999956,0.0701765,0.0003483872366586757,0.047698,0.0,0.0,12.5781685,1.0,1.0,,True
weak,10000,5,1,64,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0011400000000000021,0.070497,0.001777212761601715,0.048315,0.0,0.0,12.417232,1.0,1.0,1.0,True
