mode,benchmark,metric,bytes,value
native,latency,latency_us,1,1.33
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.32
native,latency,latency_us,8,1.32
native,latency,latency_us,16,1.33
native,latency,latency_us,32,1.42
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.77
native,latency,latency_us,512,1.86
native,latency,latency_us,1024,2.02
native,latency,latency_us,2048,2.26
native,latency,latency_us,4096,2.55
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.97
native,latency,latency_us,32768,5.26
native,latency,latency_us,65536,8.08
native,latency,latency_us,131072,13.28
native,latency,latency_us,262144,15.49
native,latency,latency_us,524288,25.94
native,latency,latency_us,1048576,47.25
native,latency,latency_us,2097152,90.07
native,latency,latency_us,4194304,174.27
native,latency,latency_us,1,1.33
native,latency,latency_us,2,1.31
native,latency,latency_us,4,1.32
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.33
native,latency,latency_us,32,1.47
native,latency,latency_us,64,1.46
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.78
native,latency,latency_us,512,1.78
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.25
native,latency,latency_us,4096,2.54
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.97
native,latency,latency_us,32768,5.19
native,latency,latency_us,65536,8.03
native,latency,latency_us,131072,13.32
native,latency,latency_us,262144,15.39
native,latency,latency_us,524288,25.98
native,latency,latency_us,1048576,47.21
native,latency,latency_us,2097152,89.69
native,latency,latency_us,4194304,174.81
native,latency,latency_us,1,1.34
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.33
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.32
native,latency,latency_us,32,1.41
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.51
native,latency,latency_us,256,1.78
native,latency,latency_us,512,1.77
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.26
native,latency,latency_us,4096,2.56
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.96
native,latency,latency_us,32768,5.28
native,latency,latency_us,65536,8.05
native,latency,latency_us,131072,13.29
native,latency,latency_us,262144,15.44
native,latency,latency_us,524288,25.95
native,latency,latency_us,1048576,47.19
native,latency,latency_us,2097152,89.99
native,latency,latency_us,4194304,174.18
native,latency,latency_us,1,1.33
native,latency,latency_us,2,1.31
native,latency,latency_us,4,1.32
native,latency,latency_us,8,1.32
native,latency,latency_us,16,1.32
native,latency,latency_us,32,1.42
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.78
native,latency,latency_us,512,1.77
native,latency,latency_us,1024,1.95
native,latency,latency_us,2048,2.25
native,latency,latency_us,4096,2.53
native,latency,latency_us,8192,3.04
native,latency,latency_us,16384,3.98
native,latency,latency_us,32768,5.34
native,latency,latency_us,65536,8.07
native,latency,latency_us,131072,13.25
native,latency,latency_us,262144,15.40
native,latency,latency_us,524288,25.93
native,latency,latency_us,1048576,47.41
native,latency,latency_us,2097152,89.96
native,latency,latency_us,4194304,174.16
native,latency,latency_us,1,1.33
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.33
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.33
native,latency,latency_us,32,1.42
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.78
native,latency,latency_us,512,1.77
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.26
native,latency,latency_us,4096,2.54
native,latency,latency_us,8192,3.05
native,latency,latency_us,16384,3.98
native,latency,latency_us,32768,5.28
native,latency,latency_us,65536,8.02
native,latency,latency_us,131072,13.23
native,latency,latency_us,262144,15.45
native,latency,latency_us,524288,25.98
native,latency,latency_us,1048576,47.33
native,latency,latency_us,2097152,89.79
native,latency,latency_us,4194304,174.18
native,bandwidth,bandwidth_MBps,1,4.64
native,bandwidth,bandwidth_MBps,2,9.77
native,bandwidth,bandwidth_MBps,4,18.60
native,bandwidth,bandwidth_MBps,8,39.16
native,bandwidth,bandwidth_MBps,16,78.56
native,bandwidth,bandwidth_MBps,32,154.48
native,bandwidth,bandwidth_MBps,64,308.97
native,bandwidth,bandwidth_MBps,128,554.80
native,bandwidth,bandwidth_MBps,256,1123.96
native,bandwidth,bandwidth_MBps,512,2122.05
native,bandwidth,bandwidth_MBps,1024,3761.56
native,bandwidth,bandwidth_MBps,2048,5694.42
native,bandwidth,bandwidth_MBps,4096,8254.58
native,bandwidth,bandwidth_MBps,8192,12047.77
native,bandwidth,bandwidth_MBps,16384,20771.24
native,bandwidth,bandwidth_MBps,32768,22784.96
native,bandwidth,bandwidth_MBps,65536,23562.31
native,bandwidth,bandwidth_MBps,131072,24257.71
native,bandwidth,bandwidth_MBps,262144,24506.77
native,bandwidth,bandwidth_MBps,524288,24646.30
native,bandwidth,bandwidth_MBps,1048576,24713.95
native,bandwidth,bandwidth_MBps,2097152,24746.59
native,bandwidth,bandwidth_MBps,4194304,24762.07
native,bandwidth,bandwidth_MBps,1,4.92
native,bandwidth,bandwidth_MBps,2,9.23
native,bandwidth,bandwidth_MBps,4,19.80
native,bandwidth,bandwidth_MBps,8,39.26
native,bandwidth,bandwidth_MBps,16,75.38
native,bandwidth,bandwidth_MBps,32,153.47
native,bandwidth,bandwidth_MBps,64,304.86
native,bandwidth,bandwidth_MBps,128,612.84
native,bandwidth,bandwidth_MBps,256,1057.72
native,bandwidth,bandwidth_MBps,512,2057.90
native,bandwidth,bandwidth_MBps,1024,3753.34
native,bandwidth,bandwidth_MBps,2048,5588.38
