mode,benchmark,metric,bytes,runs,median,stdev
container,bandwidth,bandwidth_MBps,1,5,0.46,0.012247448713915879
container,bandwidth,bandwidth_MBps,2,5,0.94,0.01870828693386968
container,bandwidth,bandwidth_MBps,4,5,1.88,0.027018512172212537
container,bandwidth,bandwidth_MBps,8,5,3.69,0.08384509526501836
container,bandwidth,bandwidth_MBps,16,5,7.43,0.14446452851824898
container,bandwidth,bandwidth_MBps,32,5,14.77,0.33560393323082494
container,bandwidth,bandwidth_MBps,64,5,30.39,1.4615813354035403
container,bandwidth,bandwidth_MBps,128,5,55.86,0.6068937304009671
container,bandwidth,bandwidth_MBps,256,5,104.9,8.469514153716254
container,bandwidth,bandwidth_MBps,512,5,212.77,3.5325231775601935
container,bandwidth,bandwidth_MBps,1024,5,395.92,6.545943018389336
container,bandwidth,bandwidth_MBps,2048,5,752.47,18.865001192684822
container,bandwidth,bandwidth_MBps,4096,5,1309.33,49.84992326975037
container,bandwidth,bandwidth_MBps,8192,5,2078.61,11.905314779542794
container,bandwidth,bandwidth_MBps,16384,5,2487.8,21.229556754675727
container,bandwidth,bandwidth_MBps,32768,5,2684.37,4.490102448719896
container,bandwidth,bandwidth_MBps,65536,5,2859.23,275.75102217398944
container,bandwidth,bandwidth_MBps,131072,5,3107.82,446.7337656031834
container,bandwidth,bandwidth_MBps,262144,5,4016.53,687.4960680105742
container,bandwidth,bandwidth_MBps,524288,5,3965.38,237.8767661626499
container,bandwidth,bandwidth_MBps,1048576,5,3773.09,174.31968913464715
container,bandwidth,bandwidth_MBps,2097152,5,3669.79,188.68264008646898
container,bandwidth,bandwidth_MBps,4194304,5,3480.95,83.18113445968386
container,latency,latency_us,1,5,15.79,0.08843076387773628
container,latency,latency_us,2,5,15.8,0.08366600265340732
container,latency,latency_us,4,5,15.83,0.083486525858967
container,latency,latency_us,8,5,15.79,0.07661592523751158
container,latency,latency_us,16,5,15.86,0.09659192512834607
container,latency,latency_us,32,5,15.82,0.0661059755241538
container,latency,latency_us,64,5,15.98,0.09343446901438489
container,latency,latency_us,128,5,16.22,0.06442049363362591
container,latency,latency_us,256,5,17.91,0.09203260291874836
container,latency,latency_us,512,5,18.03,0.0752994023880659
container,latency,latency_us,1024,5,18.27,0.0740270220932868
container,latency,latency_us,2048,5,30.27,0.17882952776317487
container,latency,latency_us,4096,5,31.36,0.16009372255026003
container,latency,latency_us,8192,5,32.4,0.0704982269280578
container,latency,latency_us,16384,5,40.08,0.1625423021862307
container,latency,latency_us,32768,5,45.57,0.8660658173603206
container,latency,latency_us,65536,5,80.5,6.0466577544954525
container,latency,latency_us,131072,5,105.28,4.537789109246928
container,latency,latency_us,262144,5,158.52,14.176368364288498
container,latency,latency_us,524288,5,221.51,13.75058653294469
container,latency,latency_us,1048576,5,373.06,13.345584288445378
container,latency,latency_us,2097152,5,657.33,20.20792913685118
container,latency,latency_us,4194304,5,1229.74,18.546841240491645
native,bandwidth,bandwidth_MBps,1,5,4.88,0.12049896265113674
native,bandwidth,bandwidth_MBps,2,5,9.7,0.230932890684718
native,bandwidth,bandwidth_MBps,4,5,19.67,0.7675089576024497
native,bandwidth,bandwidth_MBps,8,5,39.26,1.0292327239259347
native,bandwidth,bandwidth_MBps,16,5,77.7,2.182711616315814
native,bandwidth,bandwidth_MBps,32,5,154.48,1.924310266043395
native,bandwidth,bandwidth_MBps,64,5,304.86,6.468575577358609
native,bandwidth,bandwidth_MBps,128,5,608.98,25.341188212078794
native,bandwidth,bandwidth_MBps,256,5,1057.73,35.12786970483696
native,bandwidth,bandwidth_MBps,512,5,2065.82,48.78241353192777
native,bandwidth,bandwidth_MBps,1024,5,3753.34,48.00592046820897
native,bandwidth,bandwidth_MBps,2048,5,5673.79,47.78841983158679
native,bandwidth,bandwidth_MBps,4096,5,8254.58,37.08672848877356
native,bandwidth,bandwidth_MBps,8192,5,11990.8,79.16281115523878
native,bandwidth,bandwidth_MBps,16384,5,20694.56,106.09088250175016
native,bandwidth,bandwidth_MBps,32768,5,22784.17,79.87739279671038
native,bandwidth,bandwidth_MBps,65536,5,23597.89,102.06526759872776
native,bandwidth,bandwidth_MBps,131072,5,24251.35,24.741375871199754
native,bandwidth,bandwidth_MBps,262144,5,24512.96,6.110947553366861
native,bandwidth,bandwidth_MBps,524288,5,24649.01,2.0885952216738377
native,bandwidth,bandwidth_MBps,1048576,5,24713.36,1.0460544918880827
native,bandwidth,bandwidth_MBps,2097152,5,24746.37,0.9946104765185689
native,bandwidth,bandwidth_MBps,4194304,5,24762.07,1.6944320582420294
native,latency,latency_us,1,5,1.33,0.004472135954999583
native,latency,latency_us,2,5,1.32,0.005477225575051666
native,latency,latency_us,4,5,1.32,0.005477225575051666
native,latency,latency_us,8,5,1.33,0.005477225575051666
native,latency,latency_us,16,5,1.33,0.005477225575051666
native,latency,latency_us,32,5,1.42,0.023874672772626664
native,latency,latency_us,64,5,1.47,0.004472135954999583
native,latency,latency_us,128,5,1.5,0.004472135954999583
native,latency,latency_us,256,5,1.78,0.004472135954999583
native,latency,latency_us,512,5,1.77,0.03937003937005909
native,latency,latency_us,1024,5,1.94,0.03492849839314599
native,latency,latency_us,2048,5,2.26,0.005477225575051544
native,latency,latency_us,4096,5,2.54,0.011401754250991429
native,latency,latency_us,8192,5,3.06,0.00894427190999919
native,latency,latency_us,16384,5,3.97,0.008366600265340736
native,latency,latency_us,32768,5,5.28,0.05385164807134488
native,latency,latency_us,65536,5,8.05,0.025495097567964253
native,latency,latency_us,131072,5,13.28,0.0350713558335002
native,latency,latency_us,262144,5,15.44,0.04037325847637246
native,latency,latency_us,524288,5,25.95,0.023021728866442805
native,latency,latency_us,1048576,5,47.25,0.09121403400792995
native,latency,latency_us,2097152,5,89.96,0.1555634918610369
native,latency,latency_us,4194304,5,174.18,0.2772183255125815
