mode,benchmark,metric,bytes,runs,median,stdev
container,bandwidth,bandwidth_MBps,1,5,0.44,0.02387467277262664
container,bandwidth,bandwidth_MBps,2,5,0.9,0.022803508501982733
container,bandwidth,bandwidth_MBps,4,5,1.77,0.05612486080160908
container,bandwidth,bandwidth_MBps,8,5,3.55,0.09555103348473001
container,bandwidth,bandwidth_MBps,16,5,7.06,0.1981918262694
container,bandwidth,bandwidth_MBps,32,5,14.3,0.38330144794926135
container,bandwidth,bandwidth_MBps,64,5,28.27,1.7077031357938064
container,bandwidth,bandwidth_MBps,128,5,51.04,2.4878042527498017
container,bandwidth,bandwidth_MBps,256,5,102.75,5.572142316919049
container,bandwidth,bandwidth_MBps,512,5,196.5,9.10260017797112
container,bandwidth,bandwidth_MBps,1024,5,364.33,15.141225181602703
container,bandwidth,bandwidth_MBps,2048,5,667.82,25.18250881068049
container,bandwidth,bandwidth_MBps,4096,5,1236.04,76.89234337695787
container,bandwidth,bandwidth_MBps,8192,5,1922.25,39.34838306716041
container,bandwidth,bandwidth_MBps,16384,5,2413.7,8.120519072079068
container,bandwidth,bandwidth_MBps,32768,5,2651.57,11.601380090316866
container,bandwidth,bandwidth_MBps,65536,5,2859.34,347.47400092668806
container,bandwidth,bandwidth_MBps,131072,5,2944.03,387.073630954112
container,bandwidth,bandwidth_MBps,262144,5,2980.39,426.7529243836533
container,bandwidth,bandwidth_MBps,524288,5,3295.31,312.63089554616965
container,bandwidth,bandwidth_MBps,1048576,5,3647.88,174.98525052129386
container,bandwidth,bandwidth_MBps,2097152,5,3546.37,126.84230473308185
container,bandwidth,bandwidth_MBps,4194304,5,3434.1,58.90707835226602
container,latency,latency_us,1,5,18.33,1.1762355206335167
container,latency,latency_us,2,5,18.36,1.2117466731953512
container,latency,latency_us,4,5,18.3,1.2050809101467002
container,latency,latency_us,8,5,18.28,1.1968583876131718
container,latency,latency_us,16,5,18.29,1.1616496890198864
container,latency,latency_us,32,5,18.28,1.1495303388775788
container,latency,latency_us,64,5,18.49,1.1682379894524915
container,latency,latency_us,128,5,18.79,1.2871752017499403
container,latency,latency_us,256,5,20.37,1.1459581144178002
container,latency,latency_us,512,5,20.54,1.1645514157820598
container,latency,latency_us,1024,5,20.75,1.1406708552426514
container,latency,latency_us,2048,5,32.87,1.1742529540094846
container,latency,latency_us,4096,5,33.15,0.995203496778423
container,latency,latency_us,8192,5,34.88,0.9257591479429189
container,latency,latency_us,16384,5,43.42,4.114681032595358
container,latency,latency_us,32768,5,53.69,1.7982296849957733
container,latency,latency_us,65536,5,102.39,20.91944717242786
container,latency,latency_us,131072,5,129.98,8.451282151247815
container,latency,latency_us,262144,5,170.69,12.426241185491289
container,latency,latency_us,524288,5,307.05,23.567377240584072
container,latency,latency_us,1048576,5,536.41,19.515694197235185
container,latency,latency_us,2097152,5,975.57,15.017993208148692
container,latency,latency_us,4194304,5,1720.42,64.70585522191942
native,bandwidth,bandwidth_MBps,1,5,4.99,0.043011626335213146
native,bandwidth,bandwidth_MBps,2,5,10.03,0.08185352771872476
native,bandwidth,bandwidth_MBps,4,5,19.98,0.5793099343184095
native,bandwidth,bandwidth_MBps,8,5,39.28,0.9736888620088039
native,bandwidth,bandwidth_MBps,16,5,80.71,2.7177877032616076
native,bandwidth,bandwidth_MBps,32,5,160.41,2.045196812045238
native,bandwidth,bandwidth_MBps,64,5,300.5,9.781757510795282
native,bandwidth,bandwidth_MBps,128,5,593.65,3.1852629404807504
native,bandwidth,bandwidth_MBps,256,5,1053.17,50.78446189534742
native,bandwidth,bandwidth_MBps,512,5,2003.55,55.85373640142624
native,bandwidth,bandwidth_MBps,1024,5,3736.57,78.5466598271371
native,bandwidth,bandwidth_MBps,2048,5,5682.88,112.09214053625696
native,bandwidth,bandwidth_MBps,4096,5,8329.7,53.088231935147405
native,bandwidth,bandwidth_MBps,8192,5,11905.29,74.20279543251704
native,bandwidth,bandwidth_MBps,16384,5,20678.28,48.00623678231794
