kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,container,100000,16,1,1,454.729675,OK,2.7029568472870324e-06
strong,container,100000,16,1,2,454.626298,OK,2.0744641087436153e-06
strong,container,100000,16,1,3,447.777872,OK,2.3586230651857521e-06
strong,container,100000,16,1,4,439.447064,OK,2.9602030197590267e-06
strong,container,100000,16,1,5,439.524089,OK,6.7151343705932384e-06
strong,container,100000,1,1,1,5579.932235,OK,2.7029568488978053e-06
strong,container,100000,1,1,2,5582.815066,OK,2.0744641074560689e-06
strong,container,100000,1,1,3,5577.048332,OK,2.3586230599855356e-06
strong,container,100000,1,1,4,5580.116550,OK,2.9602030174866068e-06
strong,container,100000,1,1,5,5579.575947,OK,6.7151343663532405e-06
strong,container,100000,2,1,1,3178.781905,OK,2.7029568466427249e-06
strong,container,100000,2,1,2,3173.785118,OK,2.0744641090655031e-06
strong,container,100000,2,1,3,3177.674255,OK,2.3586230645357259e-06
strong,container,100000,2,1,4,3181.468898,OK,2.9602030207329245e-06
strong,container,100000,2,1,5,3179.971953,OK,6.715134370593241e-06
strong,container,100000,32,1,1,229.612954,OK,2.7029568472870324e-06
strong,container,100000,32,1,2,229.659133,OK,2.0744641087436153e-06
strong,container,100000,32,1,3,229.660046,OK,2.3586230651857521e-06
strong,container,100000,32,1,4,229.639085,OK,2.9602030197590267e-06
strong,container,100000,32,1,5,232.051698,OK,6.7151343705932384e-06
strong,container,100000,4,1,1,1687.516748,OK,2.7029568469648783e-06
strong,container,100000,4,1,2,1683.380310,OK,2.0744641093873879e-06
strong,container,100000,4,1,3,1683.191334,OK,2.3586230648607388e-06
strong,container,100000,4,1,4,1681.216055,OK,2.9602030200836589e-06
strong,container,100000,4,1,5,1686.331923,OK,6.7151343705932384e-06
strong,container,100000,8,1,1,866.653353,OK,2.7029568472870324e-06
strong,container,100000,8,1,2,866.002064,OK,2.0744641087436153e-06
strong,container,100000,8,1,3,865.363486,OK,2.3586230651857521e-06
strong,container,100000,8,1,4,865.749023,OK,2.9602030197590267e-06
strong,container,100000,8,1,5,865.553743,OK,6.7151343705932384e-06
strong,native,100000,16,1,1,460.007162,OK,2.7029568472870324e-06
strong,native,100000,16,1,2,442.332917,OK,2.0744641087436153e-06
strong,native,100000,16,1,3,444.346912,OK,2.3586230651857521e-06
strong,native,100000,16,1,4,453.195692,OK,2.9602030197590267e-06
strong,native,100000,16,1,5,448.971312,OK,6.7151343705932384e-06
strong,native,100000,1,1,1,5601.223522,OK,2.7029568488978053e-06
strong,native,100000,1,1,2,5606.238238,OK,2.0744641074560689e-06
strong,native,100000,1,1,3,5601.331730,OK,2.3586230599855356e-06
strong,native,100000,1,1,4,5605.417150,OK,2.9602030174866068e-06
strong,native,100000,1,1,5,5602.089946,OK,6.7151343663532405e-06
strong,native,100000,2,1,1,3199.287462,OK,2.7029568466427249e-06
strong,native,100000,2,1,2,3197.330416,OK,2.0744641090655031e-06
strong,native,100000,2,1,3,3193.329438,OK,2.3586230645357259e-06
strong,native,100000,2,1,4,3196.789666,OK,2.9602030207329245e-06
strong,native,100000,2,1,5,3195.940492,OK,6.715134370593241e-06
strong,native,100000,32,1,1,222.902915,OK,2.7029568472870324e-06
strong,native,100000,32,1,2,222.923925,OK,2.0744641087436153e-06
strong,native,100000,32,1,3,223.019448,OK,2.3586230651857521e-06
strong,native,100000,32,1,4,222.973794,OK,2.9602030197590267e-06
strong,native,100000,32,1,5,223.918857,OK,6.7151343705932384e-06
strong,native,100000,4,1,1,1696.876466,OK,2.7029568469648783e-06
strong,native,100000,4,1,2,1693.618291,OK,2.0744641093873879e-06
strong,native,100000,4,1,3,1695.130039,OK,2.3586230648607388e-06
strong,native,100000,4,1,4,1694.323952,OK,2.9602030200836589e-06
strong,native,100000,4,1,5,1693.580344,OK,6.7151343705932384e-06
strong,native,100000,8,1,1,871.677151,OK,2.7029568472870324e-06
strong,native,100000,8,1,2,871.846346,OK,2.0744641087436153e-06
strong,native,100000,8,1,3,872.035339,OK,2.3586230651857521e-06
strong,native,100000,8,1,4,871.818993,OK,2.9602030197590267e-06
strong,native,100000,8,1,5,871.895488,OK,6.7151343705932384e-06
weak,container,160000,16,1,1,1153.129547,OK,3.2372765980702164e-06
weak,container,160000,16,1,2,1152.643392,OK,5.2220399824068915e-06
weak,container,160000,16,1,3,1147.270674,OK,1.8687246209697184e-06
weak,container,160000,16,1,4,1143.117051,OK,4.2933434381232791e-06
weak,container,160000,16,1,5,1146.735786,OK,4.1832159986303736e-06
