kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,1,1,1,kdk,overlap,direct,exact,4,double,2.604990,0.003409,0.000123,2.242385,0.000000,0.000254,0.358798,0.267545,OK,1.7300258730569728e-08
strong,10000,5,1,1,2,kdk,overlap,direct,exact,4,double,2.607712,0.005424,0.000131,2.243170,0.000000,0.000254,0.358714,0.267452,OK,1.0106599287220297e-07
strong,10000,5,1,1,3,kdk,overlap,direct,exact,4,double,2.607287,0.005460,0.000124,2.242471,0.000000,0.000257,0.358953,0.267535,OK,2.0452285876196326e-07
strong,10000,5,1,1,4,kdk,overlap,direct,exact,4,double,2.604619,0.003447,0.000121,2.242259,0.000000,0.000257,0.358505,0.267561,OK,2.9243207924547555e-07
strong,10000,5,1,1,5,kdk,overlap,direct,exact,4,double,2.606072,0.003488,0.000121,2.241998,0.000000,0.000247,0.360198,0.267592,OK,3.5915098616493388e-08
strong,10000,5,2,1,1,kdk,overlap,direct,exact,4,double,1.392462,0.007404,0.000050,1.126880,0.003119,0.000123,0.257989,0.532390,OK,1.7300258730569724e-08
strong,10000,5,2,1,2,kdk,overlap,direct,exact,4,double,1.392529,0.007869,0.000054,1.126516,0.002382,0.000133,0.257950,0.532562,OK,1.0106599312269998e-07
strong,10000,5,2,1,3,kdk,overlap,direct,exact,4,double,1.392621,0.007424,0.000053,1.126525,0.002898,0.000124,0.258490,0.532558,OK,2.0452285850806521e-07
strong,10000,5,2,1,4,kdk,overlap,direct,exact,4,double,1.389788,0.004557,0.000055,1.127046,0.003001,0.000126,0.257992,0.532312,OK,2.9243207860967023e-07
strong,10000,5,2,1,5,kdk,overlap,direct,exact,4,double,1.390758,0.005327,0.000054,1.126672,0.003102,0.000126,0.258568,0.532489,OK,3.591509887214752e-08
strong,10000,5,4,1,1,kdk,overlap,direct,exact,4,double,0.725885,0.010627,0.000016,0.565275,0.002414,0.000047,0.149969,1.061324,OK,1.7300258984981847e-08
strong,10000,5,4,1,2,kdk,overlap,direct,exact,4,double,0.721232,0.006378,0.000017,0.565653,0.002171,0.000047,0.149178,1.060615,OK,1.0106599312269998e-07
strong,10000,5,4,1,3,kdk,overlap,direct,exact,4,double,0.722367,0.007365,0.000017,0.565625,0.002703,0.000046,0.149412,1.060667,OK,2.0452285850806521e-07
strong,10000,5,4,1,4,kdk,overlap,direct,exact,4,double,0.722103,0.007568,0.000016,0.565388,0.001456,0.000106,0.149107,1.061113,OK,2.9243207860967023e-07
strong,10000,5,4,1,5,kdk,overlap,direct,exact,4,double,0.724014,0.007062,0.000017,0.567484,0.003870,0.000047,0.149495,1.057194,OK,3.5915099127801651e-08
strong,10000,5,8,1,1,kdk,overlap,direct,exact,4,double,0.381148,0.012790,0.000008,0.282492,0.000696,0.000024,0.086030,2.123743,OK,1.7300258984981847e-08
strong,10000,5,8,1,2,kdk,overlap,direct,exact,4,double,0.388593,0.010207,0.000008,0.296107,0.008333,0.000023,0.096117,2.026093,OK,1.0106599312269998e-07
strong,10000,5,8,1,3,kdk,overlap,direct,exact,4,double,0.372711,0.010294,0.000008,0.282708,0.000684,0.000024,0.080133,2.122116,OK,2.0452285850806521e-07
