kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,10000,5,1,1,1,kdk,overlap,direct,exact,4,double,5,0,5,0,0.001214999999999744,2.606072,0.0013626516429373378,2.242385,0.0,0.0,0.267545,1.0,1.0,,True
strong,10000,5,2,1,2,kdk,overlap,direct,exact,4,double,5,0,3,2,0.00015900000000002024,1.392529,7.98268960522489e-05,1.126525,0.002898,0.2484472049689441,0.532558,1.8714669497008682,0.9357334748504341,,True
strong,10000,5,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0011349999999999971,0.722367,0.0018446071939575701,0.565625,0.002414,0.4473902236951119,1.060667,3.6076841826938386,0.9019210456734597,,True
strong,10000,5,8,1,8,kdk,overlap,direct,exact,4,double,5,0,3,2,0.00035999999999997145,0.372757,0.00019592175308864447,0.282579,0.000684,1.8421052631578947,2.123089,6.991342885579614,0.8739178606974517,,True
strong,10000,5,16,1,16,kdk,overlap,direct,exact,4,double,5,0,3,2,0.0015229999999999966,0.202379,0.0007615158129240198,0.142868,0.000801,1.6853932584269664,4.199254,12.877185874028433,0.804824117126777,,True
strong,10000,5,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.011172999999999988,0.147658,0.011181380178672042,0.08745,0.014432,0.09681485587583148,6.86036,17.649378970323315,0.5515430928226036,,True
strong,10000,5,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.006276000000000004,0.159252,0.007692531475398721,0.061747,0.023641,0.060247197665073395,9.716138,16.364453821616056,0.2556945909627509,,True
weak,10000,5,1,1,1,kdk,overlap,direct,exact,4,double,5,0,5,0,0.002498999999999807,2.61581,0.005113672975464961,2.242683,0.0,0.0,0.26751,1.0,1.0,1.0,True
weak,20000,5,2,1,2,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0013700000000005375,5.542491,0.0022282138399775074,4.4948475000000006,0.0065650000000000005,0.21934501142421933,0.533918,0.9439113207400789,0.9439113207400789,1.059421555846946,True
weak,40000,5,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.004066999999999155,11.373297,0.0063034515148448845,8.979901,0.011037,0.39141070943191086,1.069027,0.919983009324385,0.919983009324385,1.086976596159507,True
weak,80000,5,8,1,8,kdk,overlap,direct,exact,4,double,5,0,5,0,0.006723999999998398,23.038929,0.007209744392139907,17.961257,0.027564,0.36569438397910314,2.137908,0.908309583314398,0.908309583314398,1.1009462174240483,True
weak,160000,5,16,1,16,kdk,overlap,direct,exact,4,double,5,0,4,1,0.008544000000000551,46.402471500000004,0.013237891608939475,35.9435735,0.0673985,0.32048190983478864,4.273338,0.901955405543431,0.901955405543431,1.108702263830324,True
weak,320000,5,32,1,32,kdk,overlap,direct,exact,4,double,5,0,3,2,0.06000799999999629,95.587522,0.03274585474529113,73.817787,0.135592,0.3292229630066671,8.323171,0.8756992361408846,0.8756992361408846,1.1419445840867648,True
weak,640000,5,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.12886499999999046,194.638753,0.2756645314831109,150.255829,1.025566,0.08845847073713442,16.356079,0.8601156625782533,0.8601156625782533,1.1626343333900397,True
