mode,N,ranks,threads,repeat,total,status,max_rel_drift
native,1000,1,1,1,0.064847,OK,9.2489363424564116e-08
docker,1000,1,1,1,0.063748,OK,9.2489363424564116e-08
native,1000,1,1,2,0.066210,OK,9.2489363424564116e-08
docker,1000,1,1,2,0.066344,OK,9.2489363424564116e-08
native,1000,1,1,3,0.061165,OK,9.2489363424564116e-08
docker,1000,1,1,3,0.061774,OK,9.2489363424564116e-08
native,1000,1,1,4,0.061218,OK,9.2489363424564116e-08
docker,1000,1,1,4,0.060603,OK,9.2489363424564116e-08
native,1000,1,1,5,0.060185,OK,9.2489363424564116e-08
docker,1000,1,1,5,0.060974,OK,9.2489363424564116e-08
native,1000,2,1,1,0.058508,OK,9.2489363424564116e-08
docker,1000,2,1,1,0.052548,OK,9.2489363424564116e-08
native,1000,2,1,2,0.032473,OK,9.2489363424564116e-08
docker,1000,2,1,2,0.039354,OK,9.2489363424564116e-08
native,1000,2,1,3,0.062785,OK,9.2489363424564116e-08
docker,1000,2,1,3,0.045596,OK,9.2489363424564116e-08
native,1000,2,1,4,0.039516,OK,9.2489363424564116e-08
docker,1000,2,1,4,0.047260,OK,9.2489363424564116e-08
native,1000,2,1,5,0.035606,OK,9.2489363424564116e-08
docker,1000,2,1,5,0.050289,OK,9.2489363424564116e-08
native,1000,4,1,1,0.040295,OK,9.2489363424564116e-08
docker,1000,4,1,1,0.068442,OK,9.2489363424564116e-08
native,1000,4,1,2,0.041608,OK,9.2489363424564116e-08
docker,1000,4,1,2,0.049665,OK,9.2489363424564116e-08
native,1000,4,1,3,0.041443,OK,9.2489363424564116e-08
docker,1000,4,1,3,0.043966,OK,9.2489363424564116e-08
native,1000,4,1,4,0.042817,OK,9.2489363424564116e-08
docker,1000,4,1,4,0.036619,OK,9.2489363424564116e-08
native,1000,4,1,5,0.042669,OK,9.2489363424564116e-08
docker,1000,4,1,5,0.046650,OK,9.2489363424564116e-08
