Final Orfeo run
RUN_DIR=/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715
Generated at: Sat Sep 12 08:17:44 CEST 2026

Jobs:
00_build_vec	1625040	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/00_build_vec
01_probe	1625041	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/01_probe
02_scaling	1625042	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/02_scaling
03_hybrid	1625043	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/03_hybrid
04_ablation	1625044	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/04_ablation
05_evidence	1625045	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/05_evidence
06_memory	1625046	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/06_memory
07_arch	1625047	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/07_arch
08_container	1625048	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/08_container
09_osu	1625049	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/09_osu

Slurm status:
JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625040       build_vec  COMPLETED      0:0   00:00:03         64        genoa003 
1625040.bat+      batch  COMPLETED      0:0   00:00:03         64        genoa003 
1625040.ext+     extern  COMPLETED      0:0   00:00:03         64        genoa003 

JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625041      probe_orf+  COMPLETED      0:0   00:00:00          2        genoa001 
1625041.bat+      batch  COMPLETED      0:0   00:00:00          2        genoa001 
1625041.ext+     extern  COMPLETED      0:0   00:00:00          2        genoa001 

JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625042      scaling_o+  COMPLETED      0:0   00:13:55         64        genoa003 
1625042.bat+      batch  COMPLETED      0:0   00:13:55         64        genoa003 
1625042.ext+     extern  COMPLETED      0:0   00:13:55         64        genoa003 
1625042.0    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625042.1    nbody_dir+  COMPLETED      0:0   00:00:38          1        genoa003 
1625042.2    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625042.3    nbody_dir+  COMPLETED      0:0   00:00:38          1        genoa003 
1625042.4    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625042.5    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625042.6    nbody_dir+  COMPLETED      0:0   00:00:19          2        genoa003 
1625042.7    nbody_dir+  COMPLETED      0:0   00:00:20          2        genoa003 
1625042.8    nbody_dir+  COMPLETED      0:0   00:00:20          2        genoa003 
1625042.9    nbody_dir+  COMPLETED      0:0   00:00:20          2        genoa003 
1625042.10   nbody_dir+  COMPLETED      0:0   00:00:19          2        genoa003 
1625042.11   nbody_dir+  COMPLETED      0:0   00:00:20          2        genoa003 
1625042.12   nbody_dir+  COMPLETED      0:0   00:00:10          4        genoa003 
1625042.13   nbody_dir+  COMPLETED      0:0   00:00:11          4        genoa003 
1625042.14   nbody_dir+  COMPLETED      0:0   00:00:10          4        genoa003 
1625042.15   nbody_dir+  COMPLETED      0:0   00:00:10          4        genoa003 
1625042.16   nbody_dir+  COMPLETED      0:0   00:00:11          4        genoa003 
1625042.17   nbody_dir+  COMPLETED      0:0   00:00:10          4        genoa003 
1625042.18   nbody_dir+  COMPLETED      0:0   00:00:05          8        genoa003 
1625042.19   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625042.20   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625042.21   nbody_dir+  COMPLETED      0:0   00:00:05          8        genoa003 
1625042.22   nbody_dir+  COMPLETED      0:0   00:00:06          8        genoa003 
1625042.23   nbody_dir+  COMPLETED      0:0   00:00:05          8        genoa003 
1625042.24   nbody_dir+  COMPLETED      0:0   00:00:03         16        genoa003 
1625042.25   nbody_dir+  COMPLETED      0:0   00:00:04         16        genoa003 
1625042.26   nbody_dir+  COMPLETED      0:0   00:00:03         16        genoa003 
