Test_Type,Config,Time_Sec
Kernel,direct,38.135687
Kernel,direct,38.125999
Kernel,direct,38.140676
Kernel,direct,38.129837
Kernel,direct,38.140058
Kernel,newton,23.912093
Kernel,newton,23.909690
Kernel,newton,23.907667
Kernel,newton,23.949188
Kernel,newton,23.910160
Math,exact,0.742771
Math,exact,0.737540
Math,exact,0.737290
Math,exact,0.724635
Math,exact,0.740176
Math,approx,0.252641
Math,approx,0.250689
Math,approx,0.253041
Math,approx,0.262897
Math,approx,0.265248
Comm,sendrecv,0.737210
Comm,sendrecv,0.739826
Comm,sendrecv,0.724251
Comm,sendrecv,0.732925
Comm,sendrecv,0.725879
Comm,overlap,0.732664
Comm,overlap,0.710282
Comm,overlap,0.714864
Comm,overlap,0.707609
Comm,overlap,0.707896
Accumulators,1,0.725186
Accumulators,1,0.724331
Accumulators,1,0.735076
Accumulators,1,0.727919
Accumulators,1,0.741380
Accumulators,2,0.721109
Accumulators,2,0.732981
Accumulators,2,0.724902
Accumulators,2,0.739978
Accumulators,2,0.720670
Accumulators,4,0.884340
Accumulators,4,0.723602
Accumulators,4,0.736515
Accumulators,4,0.730417
Accumulators,4,0.744408
Accumulators,8,0.747120
Accumulators,8,0.751383
Accumulators,8,0.746865
Accumulators,8,0.748590
Accumulators,8,0.732850
