Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,0.718204,0.01458811793892549,0.0,1.0,True
Accumulators,2,1,5,0,0.710085,0.0037465457157226617,-1.1304587554510959,1.011433842427315,True
Accumulators,4,1,5,0,0.720633,0.005520830852326517,0.3382047440560084,0.9966293522500357,True
Accumulators,8,1,5,0,0.715383,0.002651046151993602,-0.3927853367566823,1.0039433422376545,True
Comm,overlap,sendrecv,5,0,0.711091,0.0011281049596558066,-0.09623814233690595,1.0009633084935683,True
Comm,sendrecv,sendrecv,5,0,0.711776,0.0024024973881359396,0.0,1.0,True
Kernel,direct,direct,5,0,0.712205,0.001891385021617786,0.0,1.0,True
Kernel,newton,direct,5,0,0.766947,0.0032510790977766002,7.686270104815337,0.9286234902802931,True
Math,approx1,exact,5,0,0.220272,0.0012139862849307609,-69.07230390780325,3.233347860826614,True
Math,approx2,exact,5,0,0.242468,0.0019860211982755914,-65.95583362350747,2.9373608063744494,True
Math,exact,exact,5,0,0.712216,0.001482323412754434,0.0,1.0,True
