Test_Type,Config,Time_Sec,N,nsteps,ranks,threads,repeat,dt,eps,energy_every,force,comm_wait,gpairs,status,max_rel_drift
Kernel,direct,0.381884,10000,5,1,8,1,0.0001,0.05,100,0.280361,0.000000,2.139884,OK,1.2974058068791607e-07
Kernel,direct,0.364838,10000,5,1,8,2,0.0001,0.05,100,0.280039,0.000000,2.142348,OK,1.2974058068791607e-07
Kernel,direct,0.376203,10000,5,1,8,3,0.0001,0.05,100,0.280086,0.000000,2.141988,OK,1.2974058068791607e-07
Kernel,direct,0.364638,10000,5,1,8,4,0.0001,0.05,100,0.280130,0.000000,2.141649,OK,1.2974058068791607e-07
Kernel,direct,0.365126,10000,5,1,8,5,0.0001,0.05,100,0.280440,0.000000,2.139278,OK,1.2974058068791607e-07
Kernel,newton,0.476206,10000,5,1,8,1,0.0001,0.05,100,0.392259,0.000000,1.529450,OK,1.2974058068791607e-07
Kernel,newton,0.416701,10000,5,1,8,2,0.0001,0.05,100,0.332057,0.000000,1.806738,OK,1.2974058068791607e-07
Kernel,newton,0.415836,10000,5,1,8,3,0.0001,0.05,100,0.332104,0.000000,1.806483,OK,1.2974058068791607e-07
Kernel,newton,0.422023,10000,5,1,8,4,0.0001,0.05,100,0.340064,0.000000,1.764198,OK,1.2974058068791607e-07
Kernel,newton,0.454756,10000,5,1,8,5,0.0001,0.05,100,0.372381,0.000000,1.611092,OK,1.2974058068791607e-07
Math,exact,0.364202,10000,5,1,8,1,0.0001,0.05,100,0.280009,0.000000,2.142577,OK,1.2974058068791607e-07
Math,exact,0.364457,10000,5,1,8,2,0.0001,0.05,100,0.280270,0.000000,2.140578,OK,1.2974058068791607e-07
Math,exact,0.365063,10000,5,1,8,3,0.0001,0.05,100,0.280609,0.000000,2.137990,OK,1.2974058068791607e-07
Math,exact,0.364868,10000,5,1,8,4,0.0001,0.05,100,0.280061,0.000000,2.142178,OK,1.2974058068791607e-07
Math,exact,0.365657,10000,5,1,8,5,0.0001,0.05,100,0.280991,0.000000,2.135085,OK,1.2974058068791607e-07
Math,approx1,0.116675,10000,5,1,8,1,0.0001,0.05,100,0.034524,0.000000,17.377421,OK,1.2974022857271135e-07
Math,approx1,0.119379,10000,5,1,8,2,0.0001,0.05,100,0.034506,0.000000,17.386557,OK,1.2974022857271135e-07
Math,approx1,0.116788,10000,5,1,8,3,0.0001,0.05,100,0.034531,0.000000,17.373732,OK,1.2974022857271135e-07
Math,approx1,0.119807,10000,5,1,8,4,0.0001,0.05,100,0.034986,0.000000,17.148037,OK,1.2974022857271135e-07
Math,approx1,0.119494,10000,5,1,8,5,0.0001,0.05,100,0.034608,0.000000,17.335237,OK,1.2974022857271135e-07
Math,approx2,0.129282,10000,5,1,8,1,0.0001,0.05,100,0.045037,0.000000,13.321107,OK,1.2974058068791607e-07
Math,approx2,0.127044,10000,5,1,8,2,0.0001,0.05,100,0.045004,0.000000,13.330787,OK,1.2974058068791607e-07
Math,approx2,0.128102,10000,5,1,8,3,0.0001,0.05,100,0.045386,0.000000,13.218508,OK,1.2974058068791607e-07
Math,approx2,0.126923,10000,5,1,8,4,0.0001,0.05,100,0.045010,0.000000,13.329034,OK,1.2974058068791607e-07
Math,approx2,0.128953,10000,5,1,8,5,0.0001,0.05,100,0.045329,0.000000,13.235096,OK,1.2974058068791607e-07
Comm,sendrecv,0.364027,10000,5,1,8,1,0.0001,0.05,100,0.280032,0.000000,2.142396,OK,1.2974058068791607e-07
Comm,sendrecv,0.362423,10000,5,1,8,2,0.0001,0.05,100,0.280395,0.000000,2.139623,OK,1.2974058068791607e-07
Comm,sendrecv,0.364331,10000,5,1,8,3,0.0001,0.05,100,0.280091,0.000000,2.141945,OK,1.2974058068791607e-07
Comm,sendrecv,0.365069,10000,5,1,8,4,0.0001,0.05,100,0.280325,0.000000,2.140157,OK,1.2974058068791607e-07
Comm,sendrecv,0.362488,10000,5,1,8,5,0.0001,0.05,100,0.280010,0.000000,2.142569,OK,1.2974058068791607e-07
Comm,overlap,0.364294,10000,5,1,8,1,0.0001,0.05,100,0.280225,0.000000,2.140922,OK,1.2974058068791607e-07
Comm,overlap,0.362257,10000,5,1,8,2,0.0001,0.05,100,0.280533,0.000000,2.138569,OK,1.2974058068791607e-07
Comm,overlap,0.364473,10000,5,1,8,3,0.0001,0.05,100,0.280387,0.000000,2.139689,OK,1.2974058068791607e-07
Comm,overlap,0.364766,10000,5,1,8,4,0.0001,0.05,100,0.281544,0.000000,2.130896,OK,1.2974058068791607e-07
Comm,overlap,0.363956,10000,5,1,8,5,0.0001,0.05,100,0.279949,0.000000,2.143033,OK,1.2974058068791607e-07
Accumulators,1,0.367908,10000,5,1,8,1,0.0001,0.05,100,0.282531,0.000000,2.123449,OK,1.2974058068791607e-07
Accumulators,1,0.366994,10000,5,1,8,2,0.0001,0.05,100,0.282837,0.000000,2.121151,OK,1.2974058068791607e-07
Accumulators,1,0.366970,10000,5,1,8,3,0.0001,0.05,100,0.282684,0.000000,2.122302,OK,1.2974058068791607e-07
Accumulators,1,0.367925,10000,5,1,8,4,0.0001,0.05,100,0.283504,0.000000,2.116162,OK,1.2974058068791607e-07
Accumulators,1,0.364834,10000,5,1,8,5,0.0001,0.05,100,0.282815,0.000000,2.121314,OK,1.2974058068791607e-07
Accumulators,2,0.364006,10000,5,1,8,1,0.0001,0.05,100,0.279812,0.000000,2.144081,OK,1.2974058068791607e-07
Accumulators,2,0.363733,10000,5,1,8,2,0.0001,0.05,100,0.279687,0.000000,2.145040,OK,1.2974058068791607e-07
Accumulators,2,0.364614,10000,5,1,8,3,0.0001,0.05,100,0.280553,0.000000,2.138419,OK,1.2974058068791607e-07
Accumulators,2,0.364524,10000,5,1,8,4,0.0001,0.05,100,0.279941,0.000000,2.143091,OK,1.2974058068791607e-07
Accumulators,2,0.364504,10000,5,1,8,5,0.0001,0.05,100,0.280134,0.000000,2.141619,OK,1.2974058068791607e-07
Accumulators,4,0.365328,10000,5,1,8,1,0.0001,0.05,100,0.281060,0.000000,2.134561,OK,1.2974058068791607e-07
Accumulators,4,0.363267,10000,5,1,8,2,0.0001,0.05,100,0.279926,0.000000,2.143206,OK,1.2974058068791607e-07
Accumulators,4,0.362662,10000,5,1,8,3,0.0001,0.05,100,0.280201,0.000000,2.141106,OK,1.2974058068791607e-07
Accumulators,4,0.362612,10000,5,1,8,4,0.0001,0.05,100,0.279943,0.000000,2.143082,OK,1.2974058068791607e-07
Accumulators,4,0.362406,10000,5,1,8,5,0.0001,0.05,100,0.280035,0.000000,2.142375,OK,1.2974058068791607e-07
Accumulators,8,0.366304,10000,5,1,8,1,0.0001,0.05,100,0.281960,0.000000,2.127746,OK,1.2974058068791607e-07
Accumulators,8,0.363920,10000,5,1,8,2,0.0001,0.05,100,0.281639,0.000000,2.130170,OK,1.2974058068791607e-07
Accumulators,8,0.366245,10000,5,1,8,3,0.0001,0.05,100,0.281724,0.000000,2.129533,OK,1.2974058068791607e-07
Accumulators,8,0.366069,10000,5,1,8,4,0.0001,0.05,100,0.281878,0.000000,2.128364,OK,1.2974058068791607e-07
Accumulators,8,0.364385,10000,5,1,8,5,0.0001,0.05,100,0.282001,0.000000,2.127437,OK,1.2974058068791607e-07
