Test_Type,Config,Time_Sec,N,nsteps,ranks,threads,repeat,dt,eps,energy_every,force,comm_wait,gpairs,status,max_rel_drift
Kernel,direct,2.616562,10000,5,1,1,1,1e-4,0.05,100,2.235897,0.000000,0.268322,OK,1.2974058018291037e-07
Kernel,direct,2.601807,10000,5,1,1,2,1e-4,0.05,100,2.235868,0.000000,0.268325,OK,1.2974058018291037e-07
Kernel,direct,2.611729,10000,5,1,1,3,1e-4,0.05,100,2.240073,0.000000,0.267822,OK,1.2974058018291037e-07
Kernel,direct,2.599544,10000,5,1,1,4,1e-4,0.05,100,2.235225,0.000000,0.268403,OK,1.2974058018291037e-07
Kernel,direct,2.600246,10000,5,1,1,5,1e-4,0.05,100,2.235342,0.000000,0.268388,OK,1.2974058018291037e-07
Kernel,newton,1.765079,10000,5,1,1,1,1e-4,0.05,100,1.401782,0.000000,0.427984,OK,1.2974058018291037e-07
Kernel,newton,1.773643,10000,5,1,1,2,1e-4,0.05,100,1.402803,0.000000,0.427672,OK,1.2974058018291037e-07
Kernel,newton,1.767979,10000,5,1,1,3,1e-4,0.05,100,1.401000,0.000000,0.428223,OK,1.2974058018291037e-07
Kernel,newton,1.767468,10000,5,1,1,4,1e-4,0.05,100,1.401213,0.000000,0.428158,OK,1.2974058018291037e-07
Kernel,newton,1.766033,10000,5,1,1,5,1e-4,0.05,100,1.401407,0.000000,0.428098,OK,1.2974058018291037e-07
Math,exact,2.608489,10000,5,1,1,1,1e-4,0.05,100,2.235651,0.000000,0.268351,OK,1.2974058018291037e-07
Math,exact,2.602213,10000,5,1,1,2,1e-4,0.05,100,2.235624,0.000000,0.268355,OK,1.2974058018291037e-07
Math,exact,2.598911,10000,5,1,1,3,1e-4,0.05,100,2.236453,0.000000,0.268255,OK,1.2974058018291037e-07
Math,exact,2.600601,10000,5,1,1,4,1e-4,0.05,100,2.235830,0.000000,0.268330,OK,1.2974058018291037e-07
Math,exact,2.608007,10000,5,1,1,5,1e-4,0.05,100,2.236482,0.000000,0.268252,OK,1.2974058018291037e-07
Math,approx1,0.639448,10000,5,1,1,1,1e-4,0.05,100,0.271058,0.000000,2.213331,OK,1.2974022806770565e-07
Math,approx1,0.634745,10000,5,1,1,2,1e-4,0.05,100,0.270807,0.000000,2.215377,OK,1.2974022806770565e-07
Math,approx1,0.641584,10000,5,1,1,3,1e-4,0.05,100,0.270780,0.000000,2.215596,OK,1.2974022806770565e-07
Math,approx1,0.635762,10000,5,1,1,4,1e-4,0.05,100,0.270854,0.000000,2.214998,OK,1.2974022806770565e-07
Math,approx1,0.634297,10000,5,1,1,5,1e-4,0.05,100,0.270813,0.000000,2.215330,OK,1.2974022806770565e-07
Math,approx2,0.720288,10000,5,1,1,1,1e-4,0.05,100,0.354722,0.000000,1.691299,OK,1.2974058018291037e-07
Math,approx2,0.720345,10000,5,1,1,2,1e-4,0.05,100,0.354599,0.000000,1.691881,OK,1.2974058018291037e-07
Math,approx2,0.723951,10000,5,1,1,3,1e-4,0.05,100,0.354771,0.000000,1.691063,OK,1.2974058018291037e-07
Math,approx2,0.724101,10000,5,1,1,4,1e-4,0.05,100,0.354749,0.000000,1.691168,OK,1.2974058018291037e-07
Math,approx2,0.725020,10000,5,1,1,5,1e-4,0.05,100,0.354686,0.000000,1.691468,OK,1.2974058018291037e-07
Comm,sendrecv,2.600462,10000,5,1,1,1,1e-4,0.05,100,2.236065,0.000000,0.268302,OK,1.2974058018291037e-07
Comm,sendrecv,2.600711,10000,5,1,1,2,1e-4,0.05,100,2.235765,0.000000,0.268338,OK,1.2974058018291037e-07
Comm,sendrecv,2.623237,10000,5,1,1,3,1e-4,0.05,100,2.236854,0.000000,0.268207,OK,1.2974058018291037e-07
Comm,sendrecv,2.605806,10000,5,1,1,4,1e-4,0.05,100,2.240549,0.000000,0.267765,OK,1.2974058018291037e-07
Comm,sendrecv,2.607806,10000,5,1,1,5,1e-4,0.05,100,2.240992,0.000000,0.267712,OK,1.2974058018291037e-07
Comm,overlap,2.603683,10000,5,1,1,1,1e-4,0.05,100,2.236315,0.000000,0.268272,OK,1.2974058018291037e-07
Comm,overlap,2.599712,10000,5,1,1,2,1e-4,0.05,100,2.235296,0.000000,0.268394,OK,1.2974058018291037e-07
Comm,overlap,2.601012,10000,5,1,1,3,1e-4,0.05,100,2.235152,0.000000,0.268411,OK,1.2974058018291037e-07
Comm,overlap,2.600498,10000,5,1,1,4,1e-4,0.05,100,2.236642,0.000000,0.268233,OK,1.2974058018291037e-07
Comm,overlap,2.598489,10000,5,1,1,5,1e-4,0.05,100,2.235253,0.000000,0.268399,OK,1.2974058018291037e-07
Accumulators,1,2.650833,10000,5,1,1,1,1e-4,0.05,100,2.279117,0.000000,0.263233,OK,1.2974058018291037e-07
Accumulators,1,2.620639,10000,5,1,1,2,1e-4,0.05,100,2.255902,0.000000,0.265942,OK,1.2974058018291037e-07
Accumulators,1,2.620428,10000,5,1,1,3,1e-4,0.05,100,2.256834,0.000000,0.265833,OK,1.2974058018291037e-07
Accumulators,1,2.619026,10000,5,1,1,4,1e-4,0.05,100,2.256599,0.000000,0.265860,OK,1.2974058018291037e-07
Accumulators,1,2.619477,10000,5,1,1,5,1e-4,0.05,100,2.256267,0.000000,0.265899,OK,1.2974058018291037e-07
Accumulators,2,2.604704,10000,5,1,1,1,1e-4,0.05,100,2.234507,0.000000,0.268489,OK,1.2974058018291037e-07
Accumulators,2,2.597844,10000,5,1,1,2,1e-4,0.05,100,2.232902,0.000000,0.268682,OK,1.2974058018291037e-07
Accumulators,2,2.601374,10000,5,1,1,3,1e-4,0.05,100,2.237536,0.000000,0.268125,OK,1.2974058018291037e-07
Accumulators,2,2.604936,10000,5,1,1,4,1e-4,0.05,100,2.233969,0.000000,0.268553,OK,1.2974058018291037e-07
Accumulators,2,2.599480,10000,5,1,1,5,1e-4,0.05,100,2.233689,0.000000,0.268587,OK,1.2974058018291037e-07
Accumulators,4,2.601395,10000,5,1,1,1,1e-4,0.05,100,2.235394,0.000000,0.268382,OK,1.2974058018291037e-07
Accumulators,4,2.604790,10000,5,1,1,2,1e-4,0.05,100,2.235966,0.000000,0.268314,OK,1.2974058018291037e-07
Accumulators,4,2.602371,10000,5,1,1,3,1e-4,0.05,100,2.235518,0.000000,0.268367,OK,1.2974058018291037e-07
Accumulators,4,2.599693,10000,5,1,1,4,1e-4,0.05,100,2.235455,0.000000,0.268375,OK,1.2974058018291037e-07
Accumulators,4,2.604005,10000,5,1,1,5,1e-4,0.05,100,2.240342,0.000000,0.267789,OK,1.2974058018291037e-07
Accumulators,8,2.613905,10000,5,1,1,1,1e-4,0.05,100,2.249343,0.000000,0.266718,OK,1.2974058018291037e-07
Accumulators,8,2.617220,10000,5,1,1,2,1e-4,0.05,100,2.248577,0.000000,0.266809,OK,1.2974058018291037e-07
Accumulators,8,2.618698,10000,5,1,1,3,1e-4,0.05,100,2.248771,0.000000,0.266786,OK,1.2974058018291037e-07
Accumulators,8,2.614409,10000,5,1,1,4,1e-4,0.05,100,2.249549,0.000000,0.266693,OK,1.2974058018291037e-07
Accumulators,8,2.620464,10000,5,1,1,5,1e-4,0.05,100,2.247958,0.000000,0.266882,OK,1.2974058018291037e-07
