Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,2.620428,0.013852970053385686,0.0,1.0,True
Accumulators,2,1,5,0,2.601374,0.0031382270153703542,-0.7271331248177827,1.0073245907739525,True
Accumulators,4,1,5,0,2.602371,0.0020380098625865485,-0.6890859050506165,1.0069386724644565,True
Accumulators,8,1,5,0,2.61722,0.002793059379963173,-0.12242274926080311,1.0012257280626007,True
Comm,overlap,sendrecv,5,0,2.600498,0.001929951735147943,-0.20369897068315404,1.0020411475032858,True
Comm,sendrecv,sendrecv,5,0,2.605806,0.009303035918451627,0.0,1.0,True
Kernel,direct,direct,5,0,2.601807,0.007693251542748435,0.0,1.0,True
Kernel,newton,direct,5,0,1.767468,0.003336168580872399,-32.06767450468078,1.4720532422652064,True
Math,approx1,exact,5,0,0.635762,0.00319334694325563,-75.5684104260489,4.093061554481079,True
Math,approx2,exact,5,0,0.723951,0.002250864611654805,-72.17941037109568,3.594460122301095,True
Math,exact,exact,5,0,2.602213,0.00436516588459132,0.0,1.0,True
