Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,0.166777,0.017493471162122173,0.0,1.0,True
Accumulators,2,1,5,0,0.174301,0.00885783180016419,4.511413444299875,0.9568332941291214,True
Accumulators,4,1,5,0,0.167125,0.004484152818537748,0.20866186584480306,0.9979177262528048,True
Accumulators,8,1,5,0,0.170679,0.004297813083418125,2.339651150938072,0.9771383708599184,True
Comm,overlap,sendrecv,5,0,0.169523,0.010026190069014248,-1.0806710430342772,1.0109247712699752,True
Comm,sendrecv,sendrecv,5,0,0.171375,0.011688708534307804,0.0,1.0,True
Kernel,direct,direct,5,0,2.611124,0.004737087153515217,0.0,1.0,True
Kernel,newton,direct,5,0,1.772887,0.002768771875760147,-32.10253515344349,1.4728090397188314,True
Math,approx,exact,5,0,0.126467,0.004078070340246721,-23.396045841106776,1.3054156420251923,True
Math,exact,exact,5,0,0.165092,0.005355427994100944,0.0,1.0,True
