target,N,nsteps,ranks,threads,repeat,total,status,max_rel_drift
native,100000,10,32,1,1,3.721041,OK,1.5309004784371765e-07
native,100000,10,32,1,2,3.728415,OK,1.5309004784371765e-07
native,100000,10,32,1,3,3.723728,OK,1.5309004784371765e-07
native,100000,10,32,1,4,3.735350,OK,1.5309004784371765e-07
native,100000,10,32,1,5,3.722339,OK,1.5309004784371765e-07
x86-64-v3,100000,10,32,1,1,17.977111,OK,1.5309273974862531e-07
x86-64-v3,100000,10,32,1,2,17.989904,OK,1.5309273974862531e-07
x86-64-v3,100000,10,32,1,3,17.981537,OK,1.5309273974862531e-07
x86-64-v3,100000,10,32,1,4,17.980670,OK,1.5309273974862531e-07
x86-64-v3,100000,10,32,1,5,17.973406,OK,1.5309273974862531e-07
