target,N,nsteps,ranks,threads,repeat,total,status,max_rel_drift
native,100000,10,32,1,1,15.006254,OK,1.5309273958555863e-07
native,100000,10,32,1,2,15.010416,OK,1.5309273958555863e-07
native,100000,10,32,1,3,15.040488,OK,1.5309273958555863e-07
native,100000,10,32,1,4,15.253327,OK,1.5309273958555863e-07
native,100000,10,32,1,5,15.008320,OK,1.5309273958555863e-07
x86-64-v3,100000,10,32,1,1,15.063794,OK,1.5309273958555863e-07
x86-64-v3,100000,10,32,1,2,15.085946,OK,1.5309273958555863e-07
x86-64-v3,100000,10,32,1,3,15.055845,OK,1.5309273958555863e-07
x86-64-v3,100000,10,32,1,4,15.061305,OK,1.5309273958555863e-07
x86-64-v3,100000,10,32,1,5,15.058814,OK,1.5309273958555863e-07
