target,N,nsteps,ranks,threads,repeat,total,status,max_rel_drift
native,10000,100,64,1,1,0.710552,OK,2.2401982584746532e-07
native,10000,100,64,1,2,0.714880,OK,2.2401982584746532e-07
native,10000,100,64,1,3,0.710990,OK,2.2401982584746532e-07
native,10000,100,64,1,4,0.717416,OK,2.2401982584746532e-07
native,10000,100,64,1,5,0.728656,OK,2.2401982584746532e-07
x86-64-v3,10000,100,64,1,1,0.712066,OK,2.2401982584746532e-07
x86-64-v3,10000,100,64,1,2,0.715542,OK,2.2401982584746532e-07
x86-64-v3,10000,100,64,1,3,0.732144,OK,2.2401982584746532e-07
x86-64-v3,10000,100,64,1,4,0.711507,OK,2.2401982584746532e-07
x86-64-v3,10000,100,64,1,5,0.720136,OK,2.2401982584746532e-07
