kind,mode,N,ranks,threads,repeat,total,status,max_rel_drift
strong,native,10000,1,1,1,38.121387,OK,1.3857982185592179e-07
strong,container,10000,1,1,1,38.115926,OK,1.3857982185592179e-07
weak,native,1000,1,1,1,0.385996,OK,6.7846812591259548e-08
weak,container,1000,1,1,1,0.387318,OK,6.7846812591259548e-08
strong,native,10000,1,1,2,38.129850,OK,3.8174675158287943e-07
strong,container,10000,1,1,2,38.121735,OK,3.8174675158287943e-07
weak,native,1000,1,1,2,0.385499,OK,3.2323802282154293e-08
weak,container,1000,1,1,2,0.387175,OK,3.2323802282154293e-08
strong,native,10000,1,1,3,38.126922,OK,1.8919820381017332e-07
strong,container,10000,1,1,3,38.126129,OK,1.8919820381017332e-07
weak,native,1000,1,1,3,0.388433,OK,4.4940669679391835e-08
weak,container,1000,1,1,3,0.387363,OK,4.4940669679391835e-08
strong,native,10000,1,1,4,38.135288,OK,2.1982535274863935e-08
strong,container,10000,1,1,4,38.150219,OK,2.1982535274863935e-08
weak,native,1000,1,1,4,0.387526,OK,5.2935757135678046e-08
weak,container,1000,1,1,4,0.387141,OK,5.2935757135678046e-08
strong,native,10000,1,1,5,38.129009,OK,1.9504939219337353e-07
strong,container,10000,1,1,5,38.150157,OK,1.9504939219337353e-07
weak,native,1000,1,1,5,0.386050,OK,9.9302688161781406e-08
weak,container,1000,1,1,5,0.386720,OK,9.9302688161781406e-08
strong,native,10000,2,1,1,19.157068,OK,1.3857982185592182e-07
strong,container,10000,2,1,1,19.168032,OK,1.3857982185592182e-07
weak,native,2000,2,1,1,0.776579,OK,2.4355237807051881e-07
weak,container,2000,2,1,1,0.775127,OK,2.4355237807051881e-07
strong,native,10000,2,1,2,19.152974,OK,3.8174675133083684e-07
strong,container,10000,2,1,2,19.147193,OK,3.8174675133083684e-07
weak,native,2000,2,1,2,0.774162,OK,1.8895081252426992e-07
weak,container,2000,2,1,2,0.777831,OK,1.8895081252426992e-07
strong,native,10000,2,1,3,19.165650,OK,1.8919820431709586e-07
strong,container,10000,2,1,3,19.156442,OK,1.8919820431709586e-07
weak,native,2000,2,1,3,0.775736,OK,1.4710026128837862e-07
weak,container,2000,2,1,3,0.775901,OK,1.4710026128837862e-07
strong,native,10000,2,1,4,19.154081,OK,2.1982535274863931e-08
strong,container,10000,2,1,4,19.153870,OK,2.1982535274863931e-08
weak,native,2000,2,1,4,0.774325,OK,1.8784354525392125e-07
weak,container,2000,2,1,4,0.775758,OK,1.8784354525392125e-07
strong,native,10000,2,1,5,19.164069,OK,1.9504939193423192e-07
strong,container,10000,2,1,5,19.143134,OK,1.9504939193423192e-07
weak,native,2000,2,1,5,0.775144,OK,2.9082916724204375e-08
weak,container,2000,2,1,5,0.775238,OK,2.9082916724204375e-08
strong,native,10000,4,1,1,9.614408,OK,1.3857982185592182e-07
strong,container,10000,4,1,1,9.620932,OK,1.3857982185592182e-07
weak,native,4000,4,1,1,1.553710,OK,2.8942121823922663e-08
weak,container,4000,4,1,1,1.551070,OK,2.8942121823922663e-08
strong,native,10000,4,1,2,9.615842,OK,3.8174675133083684e-07
strong,container,10000,4,1,2,9.618151,OK,3.8174675133083684e-07
weak,native,4000,4,1,2,1.551927,OK,9.3970643937402548e-09
weak,container,4000,4,1,2,1.550775,OK,9.3970643937402548e-09
strong,native,10000,4,1,3,9.626361,OK,1.8919820431709586e-07
strong,container,10000,4,1,3,9.615009,OK,1.8919820431709586e-07
weak,native,4000,4,1,3,1.554414,OK,2.2286423623424519e-08
weak,container,4000,4,1,3,1.554013,OK,2.2286423623424519e-08
strong,native,10000,4,1,4,9.617451,OK,2.1982535017810006e-08
strong,container,10000,4,1,4,9.621355,OK,2.1982535017810006e-08
weak,native,4000,4,1,4,1.549579,OK,3.6948877744689317e-08
weak,container,4000,4,1,4,1.556348,OK,3.6948877744689317e-08
strong,native,10000,4,1,5,9.617478,OK,1.9504939219337353e-07
strong,container,10000,4,1,5,9.678269,OK,1.9504939219337353e-07
weak,native,4000,4,1,5,1.550220,OK,4.9802032778497164e-08
weak,container,4000,4,1,5,1.549950,OK,4.9802032778497164e-08
