N,nsteps,ranks,threads,repeat,energy_every,total,force,energy,status,max_rel_drift
50000,50,8,1,1,1,107.519103,56.352996,51.164108,OK,5.0896519278413319e-07
50000,50,8,1,2,1,107.564249,56.393891,51.173704,OK,5.0896519278413319e-07
50000,50,8,1,3,1,107.616009,56.418727,51.196627,OK,5.0896519278413319e-07
50000,50,8,1,4,1,107.529510,56.365937,51.164022,OK,5.0896519278413319e-07
50000,50,8,1,5,1,107.530060,56.370499,51.161893,OK,5.0896519278413319e-07
50000,50,8,1,1,5,67.337601,56.294857,11.040942,OK,5.0896519278413319e-07
50000,50,8,1,2,5,67.403381,56.373168,11.029751,OK,5.0896519278413319e-07
50000,50,8,1,3,5,67.411830,56.361879,11.047661,OK,5.0896519278413319e-07
50000,50,8,1,4,5,67.393321,56.351241,11.040142,OK,5.0896519278413319e-07
50000,50,8,1,5,5,67.328648,56.285791,11.040441,OK,5.0896519278413319e-07
50000,50,8,1,1,10,62.440922,56.406383,6.032878,OK,4.4465212766764507e-07
50000,50,8,1,2,10,62.409538,56.381829,6.024595,OK,4.4465212766764507e-07
50000,50,8,1,3,10,62.439808,56.399029,6.037875,OK,4.4465212766764507e-07
50000,50,8,1,4,10,62.331112,56.297235,6.031622,OK,4.4465212766764507e-07
50000,50,8,1,5,10,62.370056,56.336426,6.031327,OK,4.4465212766764507e-07
50000,50,8,1,1,50,58.386270,56.367572,2.015630,OK,3.4395763011340617e-07
50000,50,8,1,2,50,58.298873,56.284278,2.011792,OK,3.4395763011340617e-07
50000,50,8,1,3,50,58.391467,56.383696,2.005187,OK,3.4395763011340617e-07
50000,50,8,1,4,50,58.423750,56.400342,2.020654,OK,3.4395763011340617e-07
50000,50,8,1,5,50,58.410004,56.394059,2.012908,OK,3.4395763011340617e-07
