kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,20000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0003700000000000925,0.599095,0.0008000457486919479,0.498758,0.023575,0.4215641993637328,16.841008,1.0,1.0,,True
weak,128000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,3,2,0.0007270000000012544,22.150116,0.00039841477549610926,19.467418,0.093346,0.6803076725301566,17.6737,1.0,1.0,1.0,True
strong,20000,20,32,2,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0003930000000000877,0.562215,0.0006230587853485373,0.48133950000000003,0.0052335,1.865864144453998,17.450432,1.0,1.0,,True
weak,64000,20,32,2,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0015099999999996783,5.747305,0.0009279713986250837,4.9158185,0.054247500000000004,0.5760265450020737,17.4975245,1.0,1.0,1.0,True
strong,20000,20,16,4,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.004959000000000047,0.58654,0.005673511373038745,0.501961,0.02546,0.37117046347211313,16.733532,1.0,1.0,,True
weak,32000,20,16,4,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0012319999999998998,1.4530150000000002,0.0014118119268042126,1.2438150000000001,0.02637,0.5733788395904436,17.2882035,1.0,1.0,1.0,True
strong,20000,20,8,8,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.003908000000000023,0.590321,0.004189534437142142,0.497345,0.021683,0.4067702808651939,16.888851,1.0,1.0,,True
weak,16000,20,8,8,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0024879999999999902,0.383897,0.0030565460572351986,0.321876,0.016346,0.4316652392022513,16.701016,1.0,1.0,1.0,True
strong,20000,20,4,16,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0012780000000000014,0.57368,0.002966812481435246,0.488972,0.015083,0.5012265464430153,17.17804,1.0,1.0,,True
weak,8000,20,4,16,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.004919999999999994,0.120155,0.006597620495299802,0.099035,0.012462,0.24265767934520943,13.569311,1.0,1.0,1.0,True
strong,20000,20,2,32,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0008529999999999927,0.5767355,0.000754830389336985,0.48936599999999997,0.011847,0.42542415801468725,17.164216500000002,1.0,1.0,,True
weak,4000,20,2,32,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.001445999999999996,0.040489,0.0012779197940402977,0.032029,0.001227,0.8215158924205379,10.4905395,1.0,1.0,1.0,True
strong,20000,20,1,64,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0029449999999999754,0.577963,0.002959363918141866,0.496029,0.0,0.0,16.933664,1.0,1.0,,True
weak,2000,20,1,64,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.00010999999999999899,0.016478,0.00012470331457770778,0.0106275,0.0,0.0,7.900436,1.0,1.0,1.0,True
