kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,5,8,8,1,kdk,overlap,direct,exact,4,double,0.097883,0.013912,0.000035,0.063556,0.016083,0.000049,0.025525,9.439621,OK,1.7300258984981847e-08
strong,10000,5,8,8,2,kdk,overlap,direct,exact,4,double,0.098488,0.011816,0.000030,0.068931,0.023276,0.000050,0.022962,8.703504,OK,1.0106599312269998e-07
strong,10000,5,8,8,3,kdk,overlap,direct,exact,4,double,0.108261,0.023352,0.000028,0.064543,0.017896,0.000048,0.025321,9.295195,OK,2.0452285850806521e-07
strong,10000,5,8,8,4,kdk,overlap,direct,exact,4,double,0.092707,0.014114,0.000027,0.058264,0.009494,0.000051,0.025190,10.296879,OK,2.9243207860967023e-07
strong,10000,5,8,8,5,kdk,overlap,direct,exact,4,double,0.095172,0.013892,0.000030,0.060529,0.011027,0.000048,0.024292,9.911623,OK,3.591509887214752e-08
weak,80000,5,8,8,1,kdk,overlap,direct,exact,4,double,3.388575,0.017359,0.000053,2.408416,0.066678,0.000161,0.964087,15.943890,OK,3.9714130768336038e-08
weak,80000,5,8,8,2,kdk,overlap,direct,exact,4,double,3.390380,0.015091,0.000052,2.403839,0.061533,0.000155,0.972356,15.974245,OK,7.3229803518551256e-08
weak,80000,5,8,8,3,kdk,overlap,direct,exact,4,double,3.396174,0.014151,0.000051,2.402409,0.061209,0.000154,0.979689,15.983757,OK,4.5829701321656601e-08
weak,80000,5,8,8,4,kdk,overlap,direct,exact,4,double,3.404824,0.014316,0.000054,2.393762,0.053797,0.000154,0.996676,16.041496,OK,1.788601049167858e-07
weak,80000,5,8,8,5,kdk,overlap,direct,exact,4,double,3.400767,0.014597,0.000050,2.398115,0.057416,0.000155,0.988274,16.012377,OK,9.7488998533611751e-08
