kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,10000,100,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.012024000000000035,0.713631,0.012104346587073576,0.626225,0.015505,1.546325959367946,16.126785,1.0,1.0,,True
weak,64000,100,64,1,64,kdk,overlap,direct,exact,4,double,5,0,3,2,0.013922000000000878,24.79279,0.007203041302117152,24.297793,0.061466,2.4844954934435295,17.025807,1.0,1.0,1.0,True
strong,10000,100,32,2,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0021460000000000923,0.6803710000000001,0.001947177529999095,0.6318985,0.017793,1.3218721969313774,15.982004499999999,1.0,1.0,,True
weak,32000,100,32,2,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.004245000000000054,6.2576345,0.004279515003673609,6.114902,0.035119,2.1396964606053706,16.912906,1.0,1.0,1.0,True
strong,10000,100,16,4,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0012249999999999206,0.656307,0.0017679071808214153,0.623367,0.009641,2.357120630639975,16.200719,1.0,1.0,,True
weak,16000,100,16,4,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0015609999999999236,1.588461,0.0020821279259449744,1.541594,0.011613,3.130973908550762,16.771206,1.0,1.0,1.0,True
strong,10000,100,8,8,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0029520000000000657,0.652675,0.002085915546388854,0.62955,0.007478,2.836319871623429,16.041665000000002,1.0,1.0,,True
weak,8000,100,8,8,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.00042799999999998395,0.426472,0.0007620898350369554,0.4063185,0.0054470000000000005,3.1151092344409768,15.9067235,1.0,1.0,1.0,True
strong,10000,100,4,16,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0010579999999998924,0.657069,0.001933104303962893,0.6333765,0.0156575,1.1611049018042472,15.944697999999999,1.0,1.0,,True
weak,4000,100,4,16,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.00033400000000000096,0.1276555,0.00069436925815208,0.1142875,0.004819,1.5090267690392196,14.1402135,1.0,1.0,1.0,True
strong,10000,100,2,32,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.001530999999999949,0.646658,0.0028718584923355687,0.623457,0.009092,1.3330400351957767,16.198374,1.0,1.0,,True
weak,2000,100,2,32,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0005570000000000019,0.045649999999999996,0.0013109281699111763,0.034764,0.001621,1.4953732264034545,11.6154625,1.0,1.0,1.0,True
strong,10000,100,1,64,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.003371000000000013,0.6464225,0.002827972226997047,0.6210495,0.0,0.0,16.261171,1.0,1.0,,True
weak,1000,100,1,64,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0018300000000000018,0.026056000000000003,0.0030952191090992797,0.01285,0.0,0.0,7.852079,1.0,1.0,1.0,True
