layout,N,threads,repeat,warmups,inner_repeats,rsqrt,force,gpairs,checksum
soa,10000,1,1,1,3,exact,1.12980545,0.265505888,8.5174178821034729e-10
aos,10000,1,1,1,3,exact,1.01022722,0.296933199,8.5174178821034729e-10
soa,10000,1,2,1,3,exact,1.12914336,0.265661572,8.5174178821034729e-10
aos,10000,1,2,1,3,exact,1.00987772,0.297035963,8.5174178821034729e-10
soa,10000,1,3,1,3,exact,1.12985355,0.265494585,8.5174178821034729e-10
aos,10000,1,3,1,3,exact,1.01087496,0.296742931,8.5174178821034729e-10
soa,10000,1,4,1,3,exact,1.12896299,0.265704016,8.5174178821034729e-10
aos,10000,1,4,1,3,exact,1.00991031,0.297026377,8.5174178821034729e-10
soa,10000,1,5,1,3,exact,1.1298381,0.265498215,8.5174178821034729e-10
aos,10000,1,5,1,3,exact,1.01304858,0.296106234,8.5174178821034729e-10
soa,10000,2,1,1,3,exact,0.565911214,0.530065481,3.0559021979570389e-10
aos,10000,2,1,1,3,exact,0.509336138,0.588943092,3.0559021979570389e-10
soa,10000,2,2,1,3,exact,0.565125798,0.53080217,3.0559021979570389e-10
aos,10000,2,2,1,3,exact,0.509064017,0.589257913,3.0559021979570389e-10
soa,10000,2,3,1,3,exact,0.564764915,0.531141351,3.0559021979570389e-10
aos,10000,2,3,1,3,exact,0.508954857,0.589384296,3.0559021979570389e-10
soa,10000,2,4,1,3,exact,0.564905916,0.531008777,3.0559021979570389e-10
aos,10000,2,4,1,3,exact,0.509183047,0.589120163,3.0559021979570389e-10
soa,10000,2,5,1,3,exact,0.56505081,0.530872613,3.0559021979570389e-10
aos,10000,2,5,1,3,exact,0.508662804,0.589722696,3.0559021979570389e-10
soa,10000,4,1,1,3,exact,0.282474743,1.06193565,1.5279510989785194e-10
aos,10000,4,1,1,3,exact,0.254404473,1.17910663,1.5279510989785194e-10
soa,10000,4,2,1,3,exact,0.282350494,1.06240296,1.4551915228366852e-10
aos,10000,4,2,1,3,exact,0.254239981,1.1798695,1.4551915228366852e-10
soa,10000,4,3,1,3,exact,0.282398534,1.06222223,1.5279510989785194e-10
aos,10000,4,3,1,3,exact,0.25425736,1.17978885,1.4551915228366852e-10
soa,10000,4,4,1,3,exact,0.282548814,1.06165726,1.4551915228366852e-10
aos,10000,4,4,1,3,exact,0.254218961,1.17996706,1.6007106751203537e-10
soa,10000,4,5,1,3,exact,0.282503934,1.06182592,1.7462298274040222e-10
aos,10000,4,5,1,3,exact,0.254161201,1.18023521,1.5279510989785194e-10
soa,10000,8,1,1,3,exact,0.141579916,2.11873272,4.6566128730773926e-10
aos,10000,8,1,1,3,exact,0.128248665,2.33897172,4.6566128730773926e-10
soa,10000,8,2,1,3,exact,0.143200556,2.09475444,4.6566128730773926e-10
aos,10000,8,2,1,3,exact,0.130167927,2.30448474,4.6566128730773926e-10
soa,10000,8,3,1,3,exact,0.143438446,2.09128032,4.6566128730773926e-10
aos,10000,8,3,1,3,exact,0.130199428,2.30392718,4.6566128730773926e-10
soa,10000,8,4,1,3,exact,0.143469467,2.09082815,4.6566128730773926e-10
aos,10000,8,4,1,3,exact,0.130216147,2.30363136,4.5110937207937241e-10
soa,10000,8,5,1,3,exact,0.14370559,2.08739271,4.6566128730773926e-10
aos,10000,8,5,1,3,exact,0.130326558,2.30167976,4.6566128730773926e-10
