layout,N,threads,rsqrt,runs,force_median,force_stdev,gpairs_median,checksum_median,soa_vs_aos_speedup,checksum_abs_diff_vs_aos,checksum_rel_diff_vs_aos
aos,10000,1,exact,5,1.01165851,0.0008219801352708834,0.2965131,8.517417882103473e-10,,,
aos,10000,2,exact,5,0.511719982,0.0005837664702702494,0.586199505,3.055902197957039e-10,,,
aos,10000,4,exact,5,0.258317833,0.00017920106661233789,1.16124387,1.4551915228366852e-10,,,
aos,10000,8,exact,5,0.131556017,0.0001009799532516245,2.28016936,4.802132025361061e-10,,,
aos,10000,16,exact,5,0.0681201676,6.826334973185039e-05,4.40354172,6.83940015733242e-10,,,
aos,10000,32,exact,5,0.0361987874,0.0001046822497166536,8.28674167,4.911271389573812e-10,,,
aos,10000,64,exact,5,0.0204745783,0.00013869677307746598,14.6508512,4.547473508864641e-10,,,
soa,10000,1,exact,5,1.12940041,0.0005212873517552225,0.265601109,8.517417882103473e-10,0.895748311265444,0.0,0.0
soa,10000,2,exact,5,0.565417346,0.0001700270280681715,0.530528471,3.055902197957039e-10,0.9050305683405758,0.0,0.0
soa,10000,4,exact,5,0.282751183,0.00018166925166274378,1.06089742,1.4551915228366852e-10,0.9135870989441625,0.0,0.0
soa,10000,8,exact,5,0.141405862,8.45198948337028e-05,2.12134063,4.656612873077393e-10,0.9303434464407141,1.4551915228366852e-11,1.4551915228366852e-11
soa,10000,16,exact,5,0.070795957,5.092464462141368e-05,4.23710636,6.912159733474255e-10,0.9622042060961192,7.275957614183426e-12,7.275957614183426e-12
soa,10000,32,exact,5,0.0355430897,3.239961771615587e-05,8.43961519,4.729372449219227e-10,1.0184479657096328,1.8189894035458565e-11,1.8189894035458565e-11
soa,10000,64,exact,5,0.0180202825,0.00010246419630477362,16.6462429,4.511093720793724e-10,1.1361962999192716,3.637978807091713e-12,3.637978807091713e-12
