kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,20,64,1,1,kdk,overlap,direct,exact,4,double,14.139843,0.096964,0.000043,12.962859,0.202635,0.000156,1.087950,16.199968,OK,3.2429078495986598e-07
strong,100000,20,64,1,2,kdk,overlap,direct,exact,4,double,14.010126,0.079116,0.000065,12.833719,0.078645,0.000148,1.100576,16.362981,OK,4.9355452992872889e-07
strong,100000,20,64,1,3,kdk,overlap,direct,exact,4,double,14.041279,0.084031,0.000050,12.866718,0.122417,0.000154,1.091666,16.321016,OK,3.4569224916184542e-07
strong,100000,20,64,1,4,kdk,overlap,direct,exact,4,double,14.025092,0.076763,0.000071,12.852373,0.101077,0.000146,1.097639,16.339232,OK,3.4389968897113093e-07
strong,100000,20,64,1,5,kdk,overlap,direct,exact,4,double,14.009945,0.078392,0.000048,12.842825,0.092176,0.000148,1.089327,16.351379,OK,3.4105920373308354e-07
weak,640000,20,64,1,1,kdk,overlap,direct,exact,4,double,568.668467,0.081274,0.000494,524.727027,4.159930,0.001078,43.996054,16.392498,OK,8.6676050169370135e-06
weak,640000,20,64,1,2,kdk,overlap,direct,exact,4,double,566.237555,0.080038,0.000404,522.255424,1.641853,0.000954,43.917440,16.470076,OK,6.8453546903425379e-06
weak,640000,20,64,1,3,kdk,overlap,direct,exact,4,double,565.704653,0.087606,0.000507,521.707838,1.233052,0.000946,43.932259,16.487363,OK,8.1344433356917326e-06
weak,640000,20,64,1,4,kdk,overlap,direct,exact,4,double,567.953588,0.085023,0.000580,524.090221,3.686403,0.000979,43.923877,16.412416,OK,8.902895984575042e-06
weak,640000,20,64,1,5,kdk,overlap,direct,exact,4,double,568.342313,0.080510,0.000351,524.449655,4.041673,0.000922,43.970962,16.401167,OK,8.2891462312160989e-06
