kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,20,8,8,1,kdk,overlap,direct,exact,4,double,14.273321,0.026176,0.000220,12.909107,0.124013,0.000495,1.338501,16.267422,OK,3.2429078495986598e-07
strong,100000,20,8,8,2,kdk,overlap,direct,exact,4,double,14.275566,0.016352,0.000268,12.911592,0.129364,0.000485,1.348195,16.264292,OK,4.9355452992872889e-07
strong,100000,20,8,8,3,kdk,overlap,direct,exact,4,double,14.283450,0.013571,0.000242,12.917002,0.130295,0.000491,1.352917,16.257480,OK,3.4569224916184542e-07
strong,100000,20,8,8,4,kdk,overlap,direct,exact,4,double,14.327765,0.033969,0.000231,12.907600,0.126690,0.000494,1.386233,16.269322,OK,3.4389968897113093e-07
strong,100000,20,8,8,5,kdk,overlap,direct,exact,4,double,14.255320,0.015177,0.000235,12.901179,0.118185,0.000487,1.338636,16.277420,OK,3.4105920373308354e-07
weak,80000,20,8,8,1,kdk,overlap,direct,exact,4,double,9.236650,0.015733,0.000249,8.275598,0.108780,0.000467,0.945948,16.240314,OK,4.2716822117447597e-08
weak,80000,20,8,8,2,kdk,overlap,direct,exact,4,double,9.267226,0.014347,0.001248,8.270580,0.108446,0.000462,0.983198,16.250169,OK,2.7917152722308922e-07
weak,80000,20,8,8,3,kdk,overlap,direct,exact,4,double,9.267762,0.015638,0.000212,8.295709,0.136520,0.000467,0.957056,16.200944,OK,3.2464727165808598e-07
weak,80000,20,8,8,4,kdk,overlap,direct,exact,4,double,9.229492,0.024215,0.000221,8.253695,0.092696,0.000451,0.951133,16.283412,OK,6.1712773150554494e-07
weak,80000,20,8,8,5,kdk,overlap,direct,exact,4,double,9.210640,0.018335,0.000215,8.244914,0.084511,0.000443,0.948003,16.300755,OK,2.0898456623427433e-07
