kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,20,2,32,1,kdk,overlap,direct,exact,4,double,13.986056,0.008164,0.000405,12.905922,0.043152,0.001482,1.070083,16.271438,OK,3.2429078495986598e-07
strong,100000,20,2,32,2,kdk,overlap,direct,exact,4,double,14.007951,0.007602,0.000437,12.926770,0.056261,0.001482,1.071879,16.245195,OK,4.9355452992872889e-07
strong,100000,20,2,32,3,kdk,overlap,direct,exact,4,double,13.986282,0.007982,0.000450,12.905388,0.084218,0.001461,1.071354,16.272110,OK,3.4569224916184542e-07
strong,100000,20,2,32,4,kdk,overlap,direct,exact,4,double,13.985301,0.008132,0.000421,12.892634,0.051432,0.001667,1.082597,16.288208,OK,3.4389968897113093e-07
strong,100000,20,2,32,5,kdk,overlap,direct,exact,4,double,13.974529,0.007400,0.000443,12.891416,0.048095,0.001268,1.074027,16.289747,OK,3.4105920389640965e-07
weak,20000,20,2,32,1,kdk,overlap,direct,exact,4,double,0.608611,0.010011,0.000261,0.528515,0.004813,0.000472,0.069347,15.892779,OK,4.438470446992144e-08
weak,20000,20,2,32,2,kdk,overlap,direct,exact,4,double,0.596454,0.005604,0.000260,0.530402,0.009010,0.000493,0.059694,15.836254,OK,2.7529162254699258e-07
weak,20000,20,2,32,3,kdk,overlap,direct,exact,4,double,0.600050,0.009603,0.000259,0.526011,0.005925,0.000481,0.063712,15.968448,OK,2.1491956738641485e-07
weak,20000,20,2,32,4,kdk,overlap,direct,exact,4,double,0.596068,0.008413,0.000259,0.526278,0.007562,0.000512,0.060617,15.960342,OK,1.6799536988577674e-07
weak,20000,20,2,32,5,kdk,overlap,direct,exact,4,double,0.598618,0.005969,0.000260,0.531550,0.010411,0.000475,0.060368,15.802055,OK,2.4588968890796005e-07
