kernel,N,threads,repeat,inner_repeats,best_seconds,GBps,checksum,status
copy,67108864,64,1,10,0.001961193,547.494203,65536,OK
scale,67108864,64,1,10,0.002035334,527.550733,81920,OK
add,67108864,64,1,10,0.003121537,515.967825,131072,OK
triad,67108864,64,1,10,0.003280838,490.915042,360448,OK
copy,67108864,64,2,10,0.001953013,549.787273,65536,OK
scale,67108864,64,2,10,0.002033203,528.103624,81920,OK
add,67108864,64,2,10,0.003164706,508.929685,131072,OK
triad,67108864,64,2,10,0.003288778,489.729911,360448,OK
copy,67108864,64,3,10,0.001972903,544.244730,65536,OK
scale,67108864,64,3,10,0.002032774,528.215164,81920,OK
add,67108864,64,3,10,0.003124696,515.446185,131072,OK
triad,67108864,64,3,10,0.003278479,491.268282,360448,OK
copy,67108864,64,4,10,0.001963122,546.956289,65536,OK
scale,67108864,64,4,10,0.002044104,525.287267,81920,OK
add,67108864,64,4,10,0.003164478,508.966381,131072,OK
triad,67108864,64,4,10,0.003266728,493.035385,360448,OK
copy,67108864,64,5,10,0.001963503,546.850182,65536,OK
scale,67108864,64,5,10,0.002062684,520.555676,81920,OK
add,67108864,64,5,10,0.003144337,512.226522,131072,OK
triad,67108864,64,5,10,0.003276219,491.607216,360448,OK
