mode,benchmark,metric,bytes,value
container,latency,latency_us,1,10.06
container,latency,latency_us,2,9.77
container,latency,latency_us,4,9.80
container,latency,latency_us,8,9.92
container,latency,latency_us,16,9.87
container,latency,latency_us,32,10.02
container,latency,latency_us,64,10.00
container,latency,latency_us,128,10.20
container,latency,latency_us,256,10.35
container,latency,latency_us,512,10.77
container,latency,latency_us,1024,11.16
container,latency,latency_us,2048,13.88
container,latency,latency_us,4096,16.30
container,latency,latency_us,8192,20.36
container,latency,latency_us,16384,28.55
container,latency,latency_us,32768,44.03
container,latency,latency_us,65536,97.59
container,latency,latency_us,131072,170.52
container,latency,latency_us,262144,234.70
container,latency,latency_us,524288,358.55
container,latency,latency_us,1048576,694.42
container,latency,latency_us,2097152,1322.25
container,latency,latency_us,4194304,2500.20
container,bandwidth,bandwidth_MBps,1,0.13
container,bandwidth,bandwidth_MBps,2,0.28
container,bandwidth,bandwidth_MBps,4,0.55
container,bandwidth,bandwidth_MBps,8,1.10
container,bandwidth,bandwidth_MBps,16,2.19
container,bandwidth,bandwidth_MBps,32,4.40
container,bandwidth,bandwidth_MBps,64,8.81
container,bandwidth,bandwidth_MBps,128,17.29
container,bandwidth,bandwidth_MBps,256,34.14
container,bandwidth,bandwidth_MBps,512,60.16
container,bandwidth,bandwidth_MBps,1024,115.25
container,bandwidth,bandwidth_MBps,2048,194.66
container,bandwidth,bandwidth_MBps,4096,325.56
container,bandwidth,bandwidth_MBps,8192,504.76
container,bandwidth,bandwidth_MBps,16384,712.15
container,bandwidth,bandwidth_MBps,32768,918.24
container,bandwidth,bandwidth_MBps,65536,828.77
container,bandwidth,bandwidth_MBps,131072,870.36
container,bandwidth,bandwidth_MBps,262144,1003.99
container,bandwidth,bandwidth_MBps,524288,1146.75
container,bandwidth,bandwidth_MBps,1048576,1564.19
container,bandwidth,bandwidth_MBps,2097152,1473.12
container,bandwidth,bandwidth_MBps,4194304,1504.60
