mode,benchmark,metric,bytes,runs,median,stdev
container,bandwidth,bandwidth_MBps,1,1,0.13,0.0
container,bandwidth,bandwidth_MBps,2,1,0.28,0.0
container,bandwidth,bandwidth_MBps,4,1,0.55,0.0
container,bandwidth,bandwidth_MBps,8,1,1.1,0.0
container,bandwidth,bandwidth_MBps,16,1,2.19,0.0
container,bandwidth,bandwidth_MBps,32,1,4.4,0.0
container,bandwidth,bandwidth_MBps,64,1,8.81,0.0
container,bandwidth,bandwidth_MBps,128,1,17.29,0.0
container,bandwidth,bandwidth_MBps,256,1,34.14,0.0
container,bandwidth,bandwidth_MBps,512,1,60.16,0.0
container,bandwidth,bandwidth_MBps,1024,1,115.25,0.0
container,bandwidth,bandwidth_MBps,2048,1,194.66,0.0
container,bandwidth,bandwidth_MBps,4096,1,325.56,0.0
container,bandwidth,bandwidth_MBps,8192,1,504.76,0.0
container,bandwidth,bandwidth_MBps,16384,1,712.15,0.0
container,bandwidth,bandwidth_MBps,32768,1,918.24,0.0
container,bandwidth,bandwidth_MBps,65536,1,828.77,0.0
container,bandwidth,bandwidth_MBps,131072,1,870.36,0.0
container,bandwidth,bandwidth_MBps,262144,1,1003.99,0.0
container,bandwidth,bandwidth_MBps,524288,1,1146.75,0.0
container,bandwidth,bandwidth_MBps,1048576,1,1564.19,0.0
container,bandwidth,bandwidth_MBps,2097152,1,1473.12,0.0
container,bandwidth,bandwidth_MBps,4194304,1,1504.6,0.0
container,latency,latency_us,1,1,10.06,0.0
container,latency,latency_us,2,1,9.77,0.0
container,latency,latency_us,4,1,9.8,0.0
container,latency,latency_us,8,1,9.92,0.0
container,latency,latency_us,16,1,9.87,0.0
container,latency,latency_us,32,1,10.02,0.0
container,latency,latency_us,64,1,10.0,0.0
container,latency,latency_us,128,1,10.2,0.0
container,latency,latency_us,256,1,10.35,0.0
container,latency,latency_us,512,1,10.77,0.0
container,latency,latency_us,1024,1,11.16,0.0
container,latency,latency_us,2048,1,13.88,0.0
container,latency,latency_us,4096,1,16.3,0.0
container,latency,latency_us,8192,1,20.36,0.0
container,latency,latency_us,16384,1,28.55,0.0
container,latency,latency_us,32768,1,44.03,0.0
container,latency,latency_us,65536,1,97.59,0.0
container,latency,latency_us,131072,1,170.52,0.0
container,latency,latency_us,262144,1,234.7,0.0
container,latency,latency_us,524288,1,358.55,0.0
container,latency,latency_us,1048576,1,694.42,0.0
container,latency,latency_us,2097152,1,1322.25,0.0
container,latency,latency_us,4194304,1,2500.2,0.0
