mode,benchmark,metric,bytes,value
native,latency,latency_us,1,1.34
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.32
native,latency,latency_us,8,1.34
native,latency,latency_us,16,1.32
native,latency,latency_us,32,1.42
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.80
native,latency,latency_us,512,1.84
native,latency,latency_us,1024,2.14
native,latency,latency_us,2048,2.26
native,latency,latency_us,4096,2.55
native,latency,latency_us,8192,3.05
native,latency,latency_us,16384,3.98
native,latency,latency_us,32768,5.39
native,latency,latency_us,65536,8.11
native,latency,latency_us,131072,13.43
native,latency,latency_us,262144,15.36
native,latency,latency_us,524288,25.91
native,latency,latency_us,1048576,47.78
native,latency,latency_us,2097152,89.94
native,latency,latency_us,4194304,174.21
native,latency,latency_us,1,1.34
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.33
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.33
native,latency,latency_us,32,1.44
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.75
native,latency,latency_us,512,1.77
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.26
native,latency,latency_us,4096,2.56
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.97
native,latency,latency_us,32768,5.31
native,latency,latency_us,65536,8.11
native,latency,latency_us,131072,13.42
native,latency,latency_us,262144,15.46
native,latency,latency_us,524288,26.01
native,latency,latency_us,1048576,47.24
native,latency,latency_us,2097152,89.99
native,latency,latency_us,4194304,174.16
native,latency,latency_us,1,1.33
native,latency,latency_us,2,1.31
native,latency,latency_us,4,1.32
native,latency,latency_us,8,1.32
native,latency,latency_us,16,1.32
native,latency,latency_us,32,1.41
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.76
native,latency,latency_us,512,1.76
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.25
native,latency,latency_us,4096,2.54
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.99
native,latency,latency_us,32768,5.25
native,latency,latency_us,65536,8.03
native,latency,latency_us,131072,13.32
native,latency,latency_us,262144,15.38
native,latency,latency_us,524288,25.90
native,latency,latency_us,1048576,47.22
native,latency,latency_us,2097152,90.11
native,latency,latency_us,4194304,174.16
native,latency,latency_us,1,1.34
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.33
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.34
native,latency,latency_us,32,1.43
native,latency,latency_us,64,1.47
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.78
native,latency,latency_us,512,1.77
native,latency,latency_us,1024,1.94
native,latency,latency_us,2048,2.25
native,latency,latency_us,4096,2.55
native,latency,latency_us,8192,3.06
native,latency,latency_us,16384,3.96
native,latency,latency_us,32768,5.29
native,latency,latency_us,65536,8.03
native,latency,latency_us,131072,13.36
native,latency,latency_us,262144,15.36
native,latency,latency_us,524288,25.99
native,latency,latency_us,1048576,47.17
native,latency,latency_us,2097152,89.98
native,latency,latency_us,4194304,174.19
native,latency,latency_us,1,1.34
native,latency,latency_us,2,1.32
native,latency,latency_us,4,1.33
native,latency,latency_us,8,1.33
native,latency,latency_us,16,1.33
native,latency,latency_us,32,1.42
native,latency,latency_us,64,1.46
native,latency,latency_us,128,1.50
native,latency,latency_us,256,1.81
native,latency,latency_us,512,1.85
native,latency,latency_us,1024,2.02
native,latency,latency_us,2048,2.25
native,latency,latency_us,4096,2.53
native,latency,latency_us,8192,3.05
native,latency,latency_us,16384,3.95
native,latency,latency_us,32768,5.24
native,latency,latency_us,65536,8.13
native,latency,latency_us,131072,13.36
native,latency,latency_us,262144,15.39
native,latency,latency_us,524288,26.11
native,latency,latency_us,1048576,47.16
native,latency,latency_us,2097152,90.04
native,latency,latency_us,4194304,174.21
native,bandwidth,bandwidth_MBps,1,4.77
native,bandwidth,bandwidth_MBps,2,9.73
native,bandwidth,bandwidth_MBps,4,19.50
native,bandwidth,bandwidth_MBps,8,39.48
native,bandwidth,bandwidth_MBps,16,78.52
native,bandwidth,bandwidth_MBps,32,149.45
native,bandwidth,bandwidth_MBps,64,308.28
native,bandwidth,bandwidth_MBps,128,570.36
native,bandwidth,bandwidth_MBps,256,1119.79
native,bandwidth,bandwidth_MBps,512,2051.83
native,bandwidth,bandwidth_MBps,1024,3761.51
native,bandwidth,bandwidth_MBps,2048,5658.90
native,bandwidth,bandwidth_MBps,4096,8312.56
native,bandwidth,bandwidth_MBps,8192,12049.38
native,bandwidth,bandwidth_MBps,16384,20798.25
native,bandwidth,bandwidth_MBps,32768,22759.36
native,bandwidth,bandwidth_MBps,65536,23595.84
native,bandwidth,bandwidth_MBps,131072,24235.95
native,bandwidth,bandwidth_MBps,262144,23026.27
native,bandwidth,bandwidth_MBps,524288,24645.43
native,bandwidth,bandwidth_MBps,1048576,24711.55
native,bandwidth,bandwidth_MBps,2097152,24746.04
native,bandwidth,bandwidth_MBps,4194304,24760.98
native,bandwidth,bandwidth_MBps,1,4.88
native,bandwidth,bandwidth_MBps,2,9.06
native,bandwidth,bandwidth_MBps,4,19.55
native,bandwidth,bandwidth_MBps,8,39.40
native,bandwidth,bandwidth_MBps,16,69.43
native,bandwidth,bandwidth_MBps,32,158.60
native,bandwidth,bandwidth_MBps,64,305.54
native,bandwidth,bandwidth_MBps,128,592.15
native,bandwidth,bandwidth_MBps,256,1120.60
native,bandwidth,bandwidth_MBps,512,2089.19
native,bandwidth,bandwidth_MBps,1024,3736.03
native,bandwidth,bandwidth_MBps,2048,5696.81
native,bandwidth,bandwidth_MBps,4096,8262.01
native,bandwidth,bandwidth_MBps,8192,12049.04
native,bandwidth,bandwidth_MBps,16384,20527.25
native,bandwidth,bandwidth_MBps,32768,22808.12
native,bandwidth,bandwidth_MBps,65536,23540.69
native,bandwidth,bandwidth_MBps,131072,24259.60
native,bandwidth,bandwidth_MBps,262144,24405.58
native,bandwidth,bandwidth_MBps,524288,24646.50
native,bandwidth,bandwidth_MBps,1048576,24713.98
native,bandwidth,bandwidth_MBps,2097152,24734.97
native,bandwidth,bandwidth_MBps,4194304,24762.31
native,bandwidth,bandwidth_MBps,1,4.91
native,bandwidth,bandwidth_MBps,2,9.86
native,bandwidth,bandwidth_MBps,4,18.46
native,bandwidth,bandwidth_MBps,8,39.58
native,bandwidth,bandwidth_MBps,16,77.68
native,bandwidth,bandwidth_MBps,32,157.26
native,bandwidth,bandwidth_MBps,64,294.17
native,bandwidth,bandwidth_MBps,128,608.28
native,bandwidth,bandwidth_MBps,256,1122.94
native,bandwidth,bandwidth_MBps,512,2006.21
native,bandwidth,bandwidth_MBps,1024,3724.33
native,bandwidth,bandwidth_MBps,2048,5717.37
native,bandwidth,bandwidth_MBps,4096,8362.58
native,bandwidth,bandwidth_MBps,8192,12054.42
native,bandwidth,bandwidth_MBps,16384,20760.14
native,bandwidth,bandwidth_MBps,32768,22825.26
native,bandwidth,bandwidth_MBps,65536,23512.12
native,bandwidth,bandwidth_MBps,131072,24231.33
native,bandwidth,bandwidth_MBps,262144,24514.64
native,bandwidth,bandwidth_MBps,524288,24645.78
native,bandwidth,bandwidth_MBps,1048576,24712.62
native,bandwidth,bandwidth_MBps,2097152,24745.89
native,bandwidth,bandwidth_MBps,4194304,24761.94
native,bandwidth,bandwidth_MBps,1,4.85
native,bandwidth,bandwidth_MBps,2,9.00
native,bandwidth,bandwidth_MBps,4,18.96
native,bandwidth,bandwidth_MBps,8,39.72
native,bandwidth,bandwidth_MBps,16,72.91
native,bandwidth,bandwidth_MBps,32,158.59
