mode,benchmark,metric,bytes,runs,median,stdev
container,bandwidth,bandwidth_MBps,1,5,0.14,0.005477225575051666
container,bandwidth,bandwidth_MBps,2,5,0.27,0.0
container,bandwidth,bandwidth_MBps,4,5,0.54,0.005477225575051666
container,bandwidth,bandwidth_MBps,8,5,1.09,0.01341640786499875
container,bandwidth,bandwidth_MBps,16,5,2.17,0.026076809620810618
container,bandwidth,bandwidth_MBps,32,5,4.31,0.06300793600809343
container,bandwidth,bandwidth_MBps,64,5,8.73,0.12786711852544416
container,bandwidth,bandwidth_MBps,128,5,17.25,0.1518222645068893
container,bandwidth,bandwidth_MBps,256,5,29.28,0.34623691311008464
container,bandwidth,bandwidth_MBps,512,5,58.07,0.7495865527075567
container,bandwidth,bandwidth_MBps,1024,5,107.05,0.5048267029387403
container,bandwidth,bandwidth_MBps,2048,5,190.89,0.5562193811797599
container,bandwidth,bandwidth_MBps,4096,5,321.74,1.0958786429162524
container,bandwidth,bandwidth_MBps,8192,5,506.96,1.4116196371544203
container,bandwidth,bandwidth_MBps,16384,5,718.78,8.108078070665101
container,bandwidth,bandwidth_MBps,32768,5,938.21,2.7297710526708863
container,bandwidth,bandwidth_MBps,65536,5,835.19,4.218799592301096
container,bandwidth,bandwidth_MBps,131072,5,882.71,3.393837061498403
container,bandwidth,bandwidth_MBps,262144,5,1017.42,7.65950716430243
container,bandwidth,bandwidth_MBps,524288,5,1272.5,13.369496250794192
container,bandwidth,bandwidth_MBps,1048576,5,1602.95,5.198517096249716
container,bandwidth,bandwidth_MBps,2097152,5,1621.15,43.98877390880539
container,bandwidth,bandwidth_MBps,4194304,5,1694.63,20.97453169918222
container,latency,latency_us,1,5,9.95,0.11067971810589353
container,latency,latency_us,2,5,9.92,0.13049904214207866
container,latency,latency_us,4,5,9.85,0.12429802894656056
container,latency,latency_us,8,5,9.9,0.12774975538137068
container,latency,latency_us,16,5,9.9,0.06387487769068548
container,latency,latency_us,32,5,9.98,0.0928977932999489
container,latency,latency_us,64,5,10.09,0.12320714265009118
container,latency,latency_us,128,5,10.09,0.0884872872225153
container,latency,latency_us,256,5,10.27,0.13553597308463927
container,latency,latency_us,512,5,10.59,0.07791020472312957
container,latency,latency_us,1024,5,11.07,0.06260990336999431
container,latency,latency_us,2048,5,13.81,0.140107101889947
container,latency,latency_us,4096,5,16.13,0.18022208521710062
container,latency,latency_us,8192,5,20.09,0.19026297590440389
