kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,100,8,1,1,kdk,sendrecv,direct,exact,4,double,481.456489,0.009073,0.002775,473.633907,0.760044,0.004282,7.807631,2.132427,OK,1.7159563851434e-06
strong,100000,100,8,1,2,kdk,sendrecv,direct,exact,4,double,481.396785,0.008559,0.002553,473.576907,0.746873,0.004144,7.805751,2.132684,OK,1.4472776069561342e-06
strong,100000,100,8,1,3,kdk,sendrecv,direct,exact,4,double,481.432491,0.009161,0.002550,473.607944,0.767078,0.004271,7.809831,2.132544,OK,2.118406263297485e-06
strong,100000,100,8,1,4,kdk,sendrecv,direct,exact,4,double,483.474072,0.009207,0.002634,475.652176,2.790972,0.004268,7.809101,2.123379,OK,1.6823944509128476e-06
strong,100000,100,8,1,5,kdk,sendrecv,direct,exact,4,double,481.896751,0.008920,0.002542,474.071738,1.222708,0.004460,7.809786,2.130458,OK,1.3408127427708277e-06
strong,100000,100,16,1,1,kdk,sendrecv,direct,exact,4,double,241.047079,0.012274,0.001213,237.004146,0.522207,0.002245,4.027468,4.261486,OK,1.7159563848171051e-06
strong,100000,100,16,1,2,kdk,sendrecv,direct,exact,4,double,243.053830,0.014769,0.001201,239.011002,2.595029,0.002222,4.027755,4.225705,OK,1.4472776069561342e-06
strong,100000,100,16,1,3,kdk,sendrecv,direct,exact,4,double,241.009798,0.015258,0.001271,236.964233,0.509808,0.002240,4.027450,4.262204,OK,2.118406263297485e-06
strong,100000,100,16,1,4,kdk,sendrecv,direct,exact,4,double,243.263414,0.011920,0.001235,239.217955,2.741324,0.002185,4.033353,4.222049,OK,1.6823944512379392e-06
strong,100000,100,16,1,5,kdk,sendrecv,direct,exact,4,double,241.031450,0.011484,0.001268,236.987859,0.533489,0.002297,4.029068,4.261779,OK,1.3408127427708277e-06
strong,100000,100,32,1,1,kdk,sendrecv,direct,exact,4,double,120.888812,0.027103,0.000444,118.808464,0.542076,0.001204,2.051861,8.500993,OK,1.7159563848171051e-06
strong,100000,100,32,1,2,kdk,sendrecv,direct,exact,4,double,120.940925,0.030304,0.000425,118.858502,0.576704,0.001188,2.051554,8.497414,OK,1.4472776069561342e-06
strong,100000,100,32,1,3,kdk,sendrecv,direct,exact,4,double,120.971890,0.022127,0.000427,118.896489,0.586929,0.001204,2.052241,8.494699,OK,2.118406263297485e-06
strong,100000,100,32,1,4,kdk,sendrecv,direct,exact,4,double,120.949881,0.022929,0.000427,118.870759,0.599456,0.001184,2.054890,8.496538,OK,1.6823944509128476e-06
strong,100000,100,32,1,5,kdk,sendrecv,direct,exact,4,double,120.922624,0.022551,0.000436,118.847070,0.570946,0.001173,2.051652,8.498231,OK,1.3408127427708277e-06
