kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,100,8,1,1,kdk,sendrecv,direct,exact,4,double,480.420754,0.012707,0.002294,472.511662,0.923530,0.003510,7.891608,2.137492,OK,1.7159563851434e-06
strong,100000,100,8,1,2,kdk,sendrecv,direct,exact,4,double,480.263118,0.013407,0.002197,472.357090,0.777802,0.003608,7.888258,2.138191,OK,1.4472776069561342e-06
strong,100000,100,8,1,3,kdk,sendrecv,direct,exact,4,double,480.203611,0.012092,0.002210,472.295728,0.777844,0.003592,7.891096,2.138469,OK,2.118406263297485e-06
strong,100000,100,8,1,4,kdk,sendrecv,direct,exact,4,double,482.604521,0.011507,0.002242,474.691739,3.199845,0.003565,7.900094,2.127675,OK,1.6823944509128476e-06
strong,100000,100,8,1,5,kdk,sendrecv,direct,exact,4,double,480.674758,0.015807,0.002254,472.763399,1.224884,0.003561,7.891825,2.136354,OK,1.3408127427708277e-06
strong,100000,100,16,1,1,kdk,sendrecv,direct,exact,4,double,244.035809,3.435231,0.001118,236.479402,0.630948,0.001972,4.119810,4.270942,OK,1.7159563848171051e-06
strong,100000,100,16,1,2,kdk,sendrecv,direct,exact,4,double,240.377213,0.017574,0.001095,236.280166,0.511110,0.001961,4.077233,4.274544,OK,1.4472776069561342e-06
strong,100000,100,16,1,3,kdk,sendrecv,direct,exact,4,double,240.561953,0.018304,0.001089,236.446987,0.649940,0.001994,4.094976,4.271528,OK,2.118406263297485e-06
strong,100000,100,16,1,4,kdk,sendrecv,direct,exact,4,double,240.255148,0.021416,0.001129,236.163418,0.389527,0.002007,4.067794,4.276657,OK,1.6823944512379392e-06
strong,100000,100,16,1,5,kdk,sendrecv,direct,exact,4,double,242.514698,0.019269,0.001100,238.421346,2.633837,0.001996,4.077383,4.236156,OK,1.3408127427708277e-06
strong,100000,100,32,1,1,kdk,sendrecv,direct,exact,4,double,123.594681,0.037965,0.000475,121.431412,0.294289,0.001180,2.124226,8.317369,OK,1.7159563848171051e-06
strong,100000,100,32,1,2,kdk,sendrecv,direct,exact,4,double,123.594031,0.036791,0.000468,121.431544,0.292057,0.001147,2.124692,8.317360,OK,1.4472776069561342e-06
strong,100000,100,32,1,3,kdk,sendrecv,direct,exact,4,double,123.607916,0.037085,0.000461,121.445307,0.325203,0.001136,2.124459,8.316418,OK,2.118406263297485e-06
strong,100000,100,32,1,4,kdk,sendrecv,direct,exact,4,double,123.559396,0.040055,0.000460,121.394185,0.267212,0.001185,2.124933,8.319920,OK,1.6823944509128476e-06
strong,100000,100,32,1,5,kdk,sendrecv,direct,exact,4,double,123.623408,0.039995,0.000457,121.457157,0.349834,0.001161,2.125382,8.315606,OK,1.3408127427708277e-06
