mode,benchmark,metric,bytes,value
native,latency,latency_us,1,15.83
native,latency,latency_us,2,15.76
native,latency,latency_us,4,15.77
native,latency,latency_us,8,15.72
native,latency,latency_us,16,15.73
native,latency,latency_us,32,15.77
native,latency,latency_us,64,15.88
native,latency,latency_us,128,16.14
native,latency,latency_us,256,17.88
native,latency,latency_us,512,18.04
native,latency,latency_us,1024,18.29
native,latency,latency_us,2048,30.89
native,latency,latency_us,4096,31.55
native,latency,latency_us,8192,32.57
native,latency,latency_us,16384,37.76
native,latency,latency_us,32768,45.83
native,latency,latency_us,65536,76.73
native,latency,latency_us,131072,102.38
native,latency,latency_us,262144,137.07
native,latency,latency_us,524288,200.24
native,latency,latency_us,1048576,362.34
native,latency,latency_us,2097152,584.51
native,latency,latency_us,4194304,1086.03
native,latency,latency_us,1,15.91
native,latency,latency_us,2,15.98
native,latency,latency_us,4,15.95
native,latency,latency_us,8,15.92
native,latency,latency_us,16,15.93
native,latency,latency_us,32,15.95
native,latency,latency_us,64,16.11
native,latency,latency_us,128,16.31
native,latency,latency_us,256,18.05
native,latency,latency_us,512,18.17
native,latency,latency_us,1024,18.32
native,latency,latency_us,2048,30.32
native,latency,latency_us,4096,31.48
native,latency,latency_us,8192,32.43
native,latency,latency_us,16384,40.05
native,latency,latency_us,32768,45.45
native,latency,latency_us,65536,82.54
native,latency,latency_us,131072,107.67
native,latency,latency_us,262144,159.73
native,latency,latency_us,524288,206.31
native,latency,latency_us,1048576,388.92
native,latency,latency_us,2097152,624.89
native,latency,latency_us,4194304,1220.10
native,latency,latency_us,1,16.73
native,latency,latency_us,2,16.78
native,latency,latency_us,4,16.86
native,latency,latency_us,8,16.78
native,latency,latency_us,16,16.73
native,latency,latency_us,32,16.75
native,latency,latency_us,64,16.87
native,latency,latency_us,128,17.15
native,latency,latency_us,256,18.84
native,latency,latency_us,512,18.99
native,latency,latency_us,1024,19.19
native,latency,latency_us,2048,31.65
native,latency,latency_us,4096,31.72
native,latency,latency_us,8192,33.27
native,latency,latency_us,16384,41.21
