mode,benchmark,metric,bytes,runs,median,stdev
container,bandwidth,bandwidth_MBps,1,5,0.46,0.005477225575051666
container,bandwidth,bandwidth_MBps,2,5,0.93,0.008366600265340723
container,bandwidth,bandwidth_MBps,4,5,1.84,0.010954451150103331
container,bandwidth,bandwidth_MBps,8,5,3.7,0.033911649915626466
container,bandwidth,bandwidth_MBps,16,5,7.46,0.07120393247567167
container,bandwidth,bandwidth_MBps,32,5,14.89,0.1162755348299895
container,bandwidth,bandwidth_MBps,64,5,29.72,0.28539446385660616
container,bandwidth,bandwidth_MBps,128,5,53.1,0.5784894121762292
container,bandwidth,bandwidth_MBps,256,5,102.67,0.572782681302429
container,bandwidth,bandwidth_MBps,512,5,208.8,1.3290146726052314
container,bandwidth,bandwidth_MBps,1024,5,383.59,1.683151805393685
container,bandwidth,bandwidth_MBps,2048,5,731.77,13.596671283810622
container,bandwidth,bandwidth_MBps,4096,5,1305.55,32.641449569527374
container,bandwidth,bandwidth_MBps,8192,5,2061.72,9.88116642912151
container,bandwidth,bandwidth_MBps,16384,5,2484.92,8.679826035123023
container,bandwidth,bandwidth_MBps,32768,5,2679.18,8.181777313029212
container,bandwidth,bandwidth_MBps,65536,5,3008.07,98.74558177457868
container,bandwidth,bandwidth_MBps,131072,5,3049.66,240.3206858137684
container,bandwidth,bandwidth_MBps,262144,5,2908.77,642.2809250242451
container,bandwidth,bandwidth_MBps,524288,5,3722.72,367.29067981640907
container,bandwidth,bandwidth_MBps,1048576,5,3550.77,183.12761118957468
container,bandwidth,bandwidth_MBps,2097152,5,3530.5,106.18325385860042
container,bandwidth,bandwidth_MBps,4194304,5,3652.44,162.96412697277884
container,latency,latency_us,1,5,16.47,0.4926966612430001
container,latency,latency_us,2,5,16.44,0.5279015059648916
container,latency,latency_us,4,5,16.51,0.4916604519381239
container,latency,latency_us,8,5,16.47,0.51860389508757
container,latency,latency_us,16,5,16.55,0.5173006862551025
container,latency,latency_us,32,5,16.55,0.5235742545236535
container,latency,latency_us,64,5,16.65,0.4985679492305938
container,latency,latency_us,128,5,16.97,0.5257185558832779
container,latency,latency_us,256,5,18.63,0.49822685596021343
container,latency,latency_us,512,5,18.73,0.48080141430740403
container,latency,latency_us,1024,5,19.05,0.5002499375312303
container,latency,latency_us,2048,5,31.44,0.6139462517191555
container,latency,latency_us,4096,5,31.74,0.2604227332626708
container,latency,latency_us,8192,5,33.2,0.3835101041693699
container,latency,latency_us,16384,5,39.58,1.1960894615370554
container,latency,latency_us,32768,5,46.99,1.0806109383122138
container,latency,latency_us,65536,5,77.28,3.302138700902795
container,latency,latency_us,131072,5,101.27,9.58172583619465
container,latency,latency_us,262144,5,131.73,16.918804035746735
container,latency,latency_us,524288,5,219.09,4.528837599207988
container,latency,latency_us,1048576,5,365.52,30.700309444694533
container,latency,latency_us,2097152,5,652.44,26.69554794343058
container,latency,latency_us,4194304,5,1182.27,44.455395285611836
native,bandwidth,bandwidth_MBps,1,5,0.46,0.011401754250991374
native,bandwidth,bandwidth_MBps,2,5,0.93,0.020493901531919167
native,bandwidth,bandwidth_MBps,4,5,1.87,0.049799598391954976
native,bandwidth,bandwidth_MBps,8,5,3.69,0.10158740079360228
native,bandwidth,bandwidth_MBps,16,5,7.43,0.20191582404556613
native,bandwidth,bandwidth_MBps,32,5,14.59,0.39828381840089844
native,bandwidth,bandwidth_MBps,64,5,28.36,1.3787131681390434
native,bandwidth,bandwidth_MBps,128,5,51.81,1.7729213180510848
native,bandwidth,bandwidth_MBps,256,5,105.79,3.285372125041547
native,bandwidth,bandwidth_MBps,512,5,197.91,8.998012558337532
native,bandwidth,bandwidth_MBps,1024,5,369.16,6.047621846643527
native,bandwidth,bandwidth_MBps,2048,5,711.66,36.48124134401134
native,bandwidth,bandwidth_MBps,4096,5,1239.49,45.43492082088399
native,bandwidth,bandwidth_MBps,8192,5,2044.25,35.95733485674375
native,bandwidth,bandwidth_MBps,16384,5,2474.21,13.190675494454439
native,bandwidth,bandwidth_MBps,32768,5,2676.75,11.467688084352522
native,bandwidth,bandwidth_MBps,65536,5,3152.12,333.1575368050376
native,bandwidth,bandwidth_MBps,131072,5,3504.69,257.8549360008453
native,bandwidth,bandwidth_MBps,262144,5,3705.7,541.7408851102158
native,bandwidth,bandwidth_MBps,524288,5,3609.78,340.392047527553
native,bandwidth,bandwidth_MBps,1048576,5,3739.03,82.88318936913574
native,bandwidth,bandwidth_MBps,2097152,5,3724.24,98.4297184797356
native,bandwidth,bandwidth_MBps,4194304,5,3809.27,213.08710953504445
native,latency,latency_us,1,5,15.91,0.5555447776732312
native,latency,latency_us,2,5,15.98,0.5852179081333719
native,latency,latency_us,4,5,15.95,0.612184612678235
native,latency,latency_us,8,5,15.92,0.5942894917462367
native,latency,latency_us,16,5,15.93,0.5985649505275099
native,latency,latency_us,32,5,15.95,0.5790682170521882
native,latency,latency_us,64,5,16.11,0.5694734409961543
native,latency,latency_us,128,5,16.31,0.5978879493684415
native,latency,latency_us,256,5,18.05,0.6006912684566004
native,latency,latency_us,512,5,18.17,0.5976621118993571
native,latency,latency_us,1024,5,18.32,0.5906183200680455
native,latency,latency_us,2048,5,30.89,0.7101197082182689
native,latency,latency_us,4096,5,31.55,0.10663020210053044
native,latency,latency_us,8192,5,32.57,0.4591078304712311
native,latency,latency_us,16384,5,40.11,1.535861321864706
native,latency,latency_us,32768,5,45.83,0.5859778152797231
native,latency,latency_us,65536,5,76.73,5.256534029186914
native,latency,latency_us,131072,5,102.38,5.8887290649171495
native,latency,latency_us,262144,5,141.6,14.594391731072585
native,latency,latency_us,524288,5,206.31,7.780865633077085
native,latency,latency_us,1048576,5,356.32,20.81673893769147
native,latency,latency_us,2097152,5,600.95,35.95300293438642
native,latency,latency_us,4194304,5,1109.62,73.41663959893557
