JobID           JobName  Partition      State ExitCode    Elapsed AllocNodes   NNodes  AllocCPUS   NTasks                                                                                             NodeList 
------------ ---------- ---------- ---------- -------- ---------- ---------- -------- ---------- -------- ---------------------------------------------------------------------------------------------------- 
1643783       osu_orfeo      GENOA  COMPLETED      0:0   00:02:15          2        2          2                                                                                                genoa[004-005] 
1643783.bat+      batch             COMPLETED      0:0   00:02:15          1        1          1        1                                                                                             genoa004 
1643783.ext+     extern             COMPLETED      0:0   00:02:15          2        2          2        2                                                                                       genoa[004-005] 
1643783.0    osu_laten+             COMPLETED      0:0   00:00:02          2        2          2        2                                                                                       genoa[004-005] 
1643783.1    osu_laten+             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.2    osu_laten+             COMPLETED      0:0   00:00:02          2        2          2        2                                                                                       genoa[004-005] 
1643783.3    osu_laten+             COMPLETED      0:0   00:00:02          2        2          2        2                                                                                       genoa[004-005] 
1643783.4    osu_laten+             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.5    osu_laten+             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.6        osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.7        osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.8        osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.9        osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.10       osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.11       osu_bw             COMPLETED      0:0   00:00:01          2        2          2        2                                                                                       genoa[004-005] 
1643783.12   singulari+             COMPLETED      0:0   00:00:16          2        2          2        2                                                                                       genoa[004-005] 
1643783.13   singulari+             COMPLETED      0:0   00:00:15          2        2          2        2                                                                                       genoa[004-005] 
1643783.14   singulari+             COMPLETED      0:0   00:00:16          2        2          2        2                                                                                       genoa[004-005] 
1643783.15   singulari+             COMPLETED      0:0   00:00:15          2        2          2        2                                                                                       genoa[004-005] 
1643783.16   singulari+             COMPLETED      0:0   00:00:15          2        2          2        2                                                                                       genoa[004-005] 
1643783.17   singulari+             COMPLETED      0:0   00:00:15          2        2          2        2                                                                                       genoa[004-005] 
1643783.18   singulari+             COMPLETED      0:0   00:00:05          2        2          2        2                                                                                       genoa[004-005] 
1643783.19   singulari+             COMPLETED      0:0   00:00:04          2        2          2        2                                                                                       genoa[004-005] 
1643783.20   singulari+             COMPLETED      0:0   00:00:05          2        2          2        2                                                                                       genoa[004-005] 
1643783.21   singulari+             COMPLETED      0:0   00:00:04          2        2          2        2                                                                                       genoa[004-005] 
1643783.22   singulari+             COMPLETED      0:0   00:00:05          2        2          2        2                                                                                       genoa[004-005] 
1643783.23   singulari+             COMPLETED      0:0   00:00:04          2        2          2        2                                                                                       genoa[004-005] 
