kind,N,ranks,threads,native_runs,container_runs,native_failed_runs,container_failed_runs,native_median,container_median,native_stdev,container_stdev,overhead_percent
strong,100000,1,1,5,5,0,0,5602.089946,5579.932235,2.3852511313677547,2.0483246405131124,-0.3955257986498569
strong,100000,2,1,5,5,0,0,3196.789666,3178.781905,2.173859167461507,2.908550149217903,-0.5633076580397173
strong,100000,4,1,5,5,0,0,1694.323952,1683.38031,1.3681104249205307,2.5523590155350915,-0.645900212121888
strong,100000,8,1,5,5,0,0,871.846346,865.749023,0.1295786721775768,0.5005328786320818,-0.6993575218815075
strong,100000,16,1,5,5,0,0,448.971312,447.777872,7.104449975668068,7.602717688807553,-0.26581653840724895
strong,100000,32,1,5,5,0,0,222.973794,229.659133,0.43340797734201886,1.0774603347384493,2.998262208338258
weak,10000,1,1,5,5,0,0,56.787664,56.892151,0.15333388673316894,0.01203579500905491,0.1839959467253291
weak,20000,2,1,5,5,0,0,129.411167,129.60152,0.4260240474724417,0.5680772176994874,0.1470916339082141
weak,40000,4,1,5,5,0,0,273.585721,270.215424,1.1370053867847278,2.888103613267315,-1.2318979907580754
weak,80000,8,1,5,5,0,0,565.0524,567.31546,4.282051008929233,4.354984233833201,0.4005044487909432
weak,160000,16,1,5,5,0,0,1151.460268,1147.270674,3.9681192379638808,4.247611139188887,-0.3638505050006591
