Test_Type,Config,Time_Sec,N,nsteps,ranks,threads,repeat,dt,eps,energy_every,force,comm_wait,gpairs,status,max_rel_drift
Kernel,direct,2.598668,10000,5,1,1,1,1e-4,0.05,100,2.236739,0.000000,0.268221,OK,1.2974058018291037e-07
Kernel,direct,2.595023,10000,5,1,1,2,1e-4,0.05,100,2.235598,0.000000,0.268358,OK,1.2974058018291037e-07
Kernel,direct,2.595346,10000,5,1,1,3,1e-4,0.05,100,2.235732,0.000000,0.268342,OK,1.2974058018291037e-07
Kernel,direct,2.596367,10000,5,1,1,4,1e-4,0.05,100,2.237423,0.000000,0.268139,OK,1.2974058018291037e-07
Kernel,direct,2.597318,10000,5,1,1,5,1e-4,0.05,100,2.236304,0.000000,0.268273,OK,1.2974058018291037e-07
Kernel,newton,1.765427,10000,5,1,1,1,1e-4,0.05,100,1.403810,0.000000,0.427365,OK,1.2974058018291037e-07
Kernel,newton,1.761351,10000,5,1,1,2,1e-4,0.05,100,1.401583,0.000000,0.428044,OK,1.2974058018291037e-07
Kernel,newton,1.760952,10000,5,1,1,3,1e-4,0.05,100,1.401968,0.000000,0.427927,OK,1.2974058018291037e-07
Kernel,newton,1.765009,10000,5,1,1,4,1e-4,0.05,100,1.401945,0.000000,0.427934,OK,1.2974058018291037e-07
Kernel,newton,1.764363,10000,5,1,1,5,1e-4,0.05,100,1.402566,0.000000,0.427745,OK,1.2974058018291037e-07
Math,exact,2.594731,10000,5,1,1,1,1e-4,0.05,100,2.235820,0.000000,0.268331,OK,1.2974058018291037e-07
Math,exact,2.598492,10000,5,1,1,2,1e-4,0.05,100,2.236227,0.000000,0.268282,OK,1.2974058018291037e-07
Math,exact,2.594817,10000,5,1,1,3,1e-4,0.05,100,2.235765,0.000000,0.268338,OK,1.2974058018291037e-07
Math,exact,2.595093,10000,5,1,1,4,1e-4,0.05,100,2.235972,0.000000,0.268313,OK,1.2974058018291037e-07
Math,exact,2.595246,10000,5,1,1,5,1e-4,0.05,100,2.235829,0.000000,0.268330,OK,1.2974058018291037e-07
Math,approx1,0.633300,10000,5,1,1,1,1e-4,0.05,100,0.271003,0.000000,2.213775,OK,1.2974022806770565e-07
Math,approx1,0.636435,10000,5,1,1,2,1e-4,0.05,100,0.270945,0.000000,2.214249,OK,1.2974022806770565e-07
Math,approx1,0.630837,10000,5,1,1,3,1e-4,0.05,100,0.270934,0.000000,2.214339,OK,1.2974022806770565e-07
Math,approx1,0.630505,10000,5,1,1,4,1e-4,0.05,100,0.271124,0.000000,2.212788,OK,1.2974022806770565e-07
Math,approx1,0.630927,10000,5,1,1,5,1e-4,0.05,100,0.271141,0.000000,2.212648,OK,1.2974022806770565e-07
Math,approx2,0.714405,10000,5,1,1,1,1e-4,0.05,100,0.355089,0.000000,1.689549,OK,1.2974058018291037e-07
Math,approx2,0.714083,10000,5,1,1,2,1e-4,0.05,100,0.354842,0.000000,1.690725,OK,1.2974058018291037e-07
Math,approx2,0.715774,10000,5,1,1,3,1e-4,0.05,100,0.354754,0.000000,1.691145,OK,1.2974058018291037e-07
Math,approx2,0.714061,10000,5,1,1,4,1e-4,0.05,100,0.354658,0.000000,1.691600,OK,1.2974058018291037e-07
Math,approx2,0.719844,10000,5,1,1,5,1e-4,0.05,100,0.354842,0.000000,1.690726,OK,1.2974058018291037e-07
Comm,sendrecv,2.596043,10000,5,1,1,1,1e-4,0.05,100,2.235917,0.000000,0.268319,OK,1.2974058018291037e-07
Comm,sendrecv,2.597813,10000,5,1,1,2,1e-4,0.05,100,2.235579,0.000000,0.268360,OK,1.2974058018291037e-07
