Test_Type,Config,baseline_config,runs,failed_runs,median_time,stdev_time,delta_vs_baseline_percent,speedup_vs_baseline,all_ok
Accumulators,1,1,5,0,2.616439,0.0016174565527395828,0.0,1.0,True
Accumulators,2,1,5,0,2.592897,0.0019908221166141924,-0.899772553459125,1.0090794196607118,True
Accumulators,4,1,5,0,2.594852,0.0012170178716846749,-0.8250526765577276,1.0083191642529132,True
Accumulators,8,1,5,0,2.610546,0.0017909853991588248,-0.2252297875089146,1.0022573821721588,True
Comm,overlap,sendrecv,5,0,2.596318,0.007035314825933533,0.029974494710154547,0.9997003448730086,True
Comm,sendrecv,sendrecv,5,0,2.59554,0.0018022477077249421,0.0,1.0,True
Kernel,direct,direct,5,0,2.596668,0.02652710076129689,0.0,1.0,True
Kernel,newton,direct,5,0,1.76206,0.0006597854196631431,-32.14149825853748,1.4736546996129531,True
Math,approx1,exact,5,0,0.630927,0.004987978979506637,-75.69750641432803,4.1148040898550855,True
Math,approx2,exact,5,0,0.714093,0.0017370171271464138,-72.49405945208677,3.6355782790196796,True
Math,exact,exact,5,0,2.596141,0.0025036124500408883,0.0,1.0,True
