kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,10000,100,1,1,1,kdk,overlap,direct,exact,4,double,38.146713,0.003459,0.001653,37.779278,0.000000,0.002984,0.359265,0.267316,OK,1.6621840068906708e-07
strong,10000,100,1,1,2,kdk,overlap,direct,exact,4,double,38.124668,0.003193,0.001717,37.757351,0.000000,0.003027,0.359275,0.267471,OK,1.0007068650767805e-07
strong,10000,100,1,1,3,kdk,overlap,direct,exact,4,double,38.139713,0.005559,0.001712,37.770339,0.000000,0.003018,0.359009,0.267379,OK,1.0108481338745483e-07
strong,10000,100,1,1,4,kdk,overlap,direct,exact,4,double,38.127073,0.005266,0.001689,37.757611,0.000000,0.003071,0.359355,0.267469,OK,2.6583932605967569e-07
strong,10000,100,1,1,5,kdk,overlap,direct,exact,4,double,38.125204,0.005261,0.001719,37.755914,0.000000,0.003052,0.359183,0.267481,OK,2.0057647777632377e-07
strong,10000,100,2,1,1,kdk,overlap,direct,exact,4,double,19.179772,0.006768,0.000837,18.912104,0.019958,0.001756,0.258412,0.533996,OK,1.6621840068906705e-07
strong,10000,100,2,1,2,kdk,overlap,direct,exact,4,double,19.185717,0.004104,0.000808,18.921064,0.045696,0.001788,0.258048,0.533743,OK,1.0007068675817504e-07
strong,10000,100,2,1,3,kdk,overlap,direct,exact,4,double,19.183305,0.006643,0.000837,18.915932,0.027331,0.001669,0.258196,0.533888,OK,1.0108481338745483e-07
strong,10000,100,2,1,4,kdk,overlap,direct,exact,4,double,19.187095,0.010480,0.000843,18.915607,0.017925,0.001734,0.258463,0.533897,OK,2.6583932580535362e-07
strong,10000,100,2,1,5,kdk,overlap,direct,exact,4,double,19.188613,0.004230,0.000818,18.922753,0.046396,0.001757,0.259095,0.533696,OK,2.0057647828763206e-07
strong,10000,100,4,1,1,kdk,overlap,direct,exact,4,double,9.635735,0.007736,0.000309,9.477725,0.018946,0.000908,0.149130,1.065550,OK,1.662184009434792e-07
