kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
weak,10000,100,1,1,1,kdk,sendrecv,direct,exact,4,double,38.217200,0.003277,0.001644,37.854516,0.000000,0.003110,0.354602,0.266784,OK,1.6621840068906708e-07
weak,10000,100,1,1,2,kdk,sendrecv,direct,exact,4,double,38.208959,0.002815,0.001705,37.846585,0.000000,0.003058,0.354742,0.266840,OK,1.0007068650767805e-07
weak,10000,100,1,1,3,kdk,sendrecv,direct,exact,4,double,38.214830,0.002731,0.001725,37.852647,0.000000,0.003056,0.354617,0.266797,OK,1.0108481338745483e-07
weak,10000,100,1,1,4,kdk,sendrecv,direct,exact,4,double,38.229565,0.003073,0.001701,37.866557,0.000000,0.003085,0.355098,0.266699,OK,2.6583932605967569e-07
weak,10000,100,1,1,5,kdk,sendrecv,direct,exact,4,double,38.214655,0.002786,0.001760,37.852281,0.000000,0.003092,0.354679,0.266800,OK,2.0057647777632377e-07
weak,20000,100,2,1,1,kdk,sendrecv,direct,exact,4,double,76.830603,0.003485,0.001584,75.806738,0.088762,0.003021,1.016079,0.532908,OK,1.7336690756345638e-07
weak,20000,100,2,1,2,kdk,sendrecv,direct,exact,4,double,76.840503,0.003781,0.001648,75.814384,0.115375,0.003055,1.018031,0.532854,OK,4.4229724811484924e-08
weak,20000,100,2,1,3,kdk,sendrecv,direct,exact,4,double,76.830583,0.003877,0.001705,75.805771,0.074546,0.003039,1.016453,0.532914,OK,2.5050723415029719e-09
weak,20000,100,2,1,4,kdk,sendrecv,direct,exact,4,double,76.868363,0.003784,0.001672,75.840786,0.081507,0.003008,1.019125,0.532668,OK,2.9742737319148316e-07
weak,20000,100,2,1,5,kdk,sendrecv,direct,exact,4,double,76.869460,0.003511,0.001632,75.842995,0.189612,0.002992,1.018368,0.532653,OK,1.2256955905762064e-07
weak,40000,100,4,1,1,kdk,sendrecv,direct,exact,4,double,154.117029,0.005960,0.001870,151.760862,0.496447,0.003383,2.345277,1.064807,OK,7.1346145755184162e-07
weak,40000,100,4,1,2,kdk,sendrecv,direct,exact,4,double,153.965801,0.005638,0.001843,151.611223,0.289129,0.003169,2.344060,1.065858,OK,3.390923897685935e-07
weak,40000,100,4,1,3,kdk,sendrecv,direct,exact,4,double,153.921851,0.005608,0.001870,151.569514,0.220818,0.003175,2.341768,1.066151,OK,3.0657040671134686e-07
weak,40000,100,4,1,4,kdk,sendrecv,direct,exact,4,double,153.993670,0.005664,0.001852,151.637517,0.293759,0.003148,2.345850,1.065673,OK,6.9315893396250089e-07
weak,40000,100,4,1,5,kdk,sendrecv,direct,exact,4,double,153.965274,0.005693,0.001924,151.610137,0.295076,0.003107,2.344827,1.065865,OK,6.6475664427708886e-07
weak,80000,100,8,1,1,kdk,sendrecv,direct,exact,4,double,308.283765,0.008466,0.002331,303.274785,0.709094,0.003418,4.995974,2.131374,OK,8.8307897892175135e-07
weak,80000,100,8,1,2,kdk,sendrecv,direct,exact,4,double,308.092845,0.008440,0.002651,303.077614,0.434094,0.003897,5.001783,2.132760,OK,1.0762214613972438e-06
weak,80000,100,8,1,3,kdk,sendrecv,direct,exact,4,double,308.224635,0.008269,0.002360,303.209012,0.646725,0.003393,5.002902,2.131836,OK,1.3006020238049773e-06
weak,80000,100,8,1,4,kdk,sendrecv,direct,exact,4,double,308.256293,0.007829,0.001991,303.246678,0.603005,0.003607,4.997908,2.131571,OK,1.5680130802942129e-06
weak,80000,100,8,1,5,kdk,sendrecv,direct,exact,4,double,308.601473,0.007952,0.002378,303.588316,0.947782,0.003505,5.000388,2.129173,OK,1.3337007855048979e-06
