kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
weak,10000,100,1,1,1,kdk,sendrecv,direct,exact,4,double,38.111093,0.005465,0.001682,37.741650,0.000000,0.003032,0.359189,0.267582,OK,1.6621840068906708e-07
weak,10000,100,1,1,2,kdk,sendrecv,direct,exact,4,double,38.114564,0.005831,0.001740,37.745170,0.000000,0.003006,0.358745,0.267557,OK,1.0007068650767805e-07
weak,10000,100,1,1,3,kdk,sendrecv,direct,exact,4,double,38.110606,0.005437,0.001691,37.740835,0.000000,0.003006,0.359564,0.267588,OK,1.0108481338745483e-07
weak,10000,100,1,1,4,kdk,sendrecv,direct,exact,4,double,38.120150,0.005867,0.001714,37.750384,0.000000,0.003032,0.359080,0.267520,OK,2.6583932605967569e-07
weak,10000,100,1,1,5,kdk,sendrecv,direct,exact,4,double,38.110531,0.005855,0.001733,37.740293,0.000000,0.003043,0.359540,0.267592,OK,2.0057647777632377e-07
weak,20000,100,2,1,1,kdk,sendrecv,direct,exact,4,double,76.626171,0.006048,0.001710,75.584459,0.206262,0.003037,1.030936,0.534475,OK,1.7336690756345638e-07
weak,20000,100,2,1,2,kdk,sendrecv,direct,exact,4,double,76.624541,0.009390,0.001658,75.577969,0.188871,0.003042,1.032590,0.534521,OK,4.4229724811484924e-08
weak,20000,100,2,1,3,kdk,sendrecv,direct,exact,4,double,76.650755,0.005054,0.001658,75.608820,0.200416,0.003068,1.032253,0.534302,OK,2.5050723415029719e-09
weak,20000,100,2,1,4,kdk,sendrecv,direct,exact,4,double,76.608653,0.006568,0.001681,75.566741,0.153178,0.003102,1.030679,0.534600,OK,2.9742737319148316e-07
weak,20000,100,2,1,5,kdk,sendrecv,direct,exact,4,double,76.569114,0.007019,0.001608,75.526126,0.046387,0.003192,1.031326,0.534887,OK,1.2256955905762064e-07
weak,40000,100,4,1,1,kdk,sendrecv,direct,exact,4,double,153.379477,0.008629,0.001926,150.993624,0.198416,0.003138,2.372607,1.070217,OK,7.1346145755184162e-07
weak,40000,100,4,1,2,kdk,sendrecv,direct,exact,4,double,153.538840,0.009273,0.001918,151.151799,0.341568,0.003169,2.373233,1.069097,OK,3.390923897685935e-07
weak,40000,100,4,1,3,kdk,sendrecv,direct,exact,4,double,153.437556,0.011140,0.002027,151.050916,0.228505,0.003242,2.370925,1.069811,OK,3.0657040671134686e-07
weak,40000,100,4,1,4,kdk,sendrecv,direct,exact,4,double,153.357685,0.007443,0.001956,150.973517,0.173053,0.003290,2.372171,1.070360,OK,6.9315893396250089e-07
weak,40000,100,4,1,5,kdk,sendrecv,direct,exact,4,double,153.415607,0.009216,0.001982,151.031146,0.216362,0.003211,2.370578,1.069951,OK,6.6475664427708886e-07
weak,80000,100,8,1,1,kdk,sendrecv,direct,exact,4,double,307.113713,0.010611,0.001943,302.043365,0.495979,0.003038,5.055676,2.140063,OK,8.8307897892175135e-07
weak,80000,100,8,1,2,kdk,sendrecv,direct,exact,4,double,307.165800,0.011994,0.001915,302.092968,0.504116,0.003105,5.058303,2.139712,OK,1.0762214613972438e-06
weak,80000,100,8,1,3,kdk,sendrecv,direct,exact,4,double,307.137871,0.011059,0.002016,302.063106,0.535490,0.003056,5.059614,2.139923,OK,1.3006020238049773e-06
weak,80000,100,8,1,4,kdk,sendrecv,direct,exact,4,double,307.155161,0.011708,0.001992,302.079157,0.503849,0.003066,5.060134,2.139810,OK,1.5680130802942129e-06
weak,80000,100,8,1,5,kdk,sendrecv,direct,exact,4,double,308.743749,0.010327,0.001942,303.669230,2.071928,0.003079,5.063546,2.128605,OK,1.3337007855048979e-06
