kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,1,1,1,kdk,overlap,direct,exact,4,double,31.186823,0.000692,0.000621,29.061104,0.000000,0.001252,2.123115,0.289032,OK,5.2001752427389305e-08
strong,20000,20,1,1,2,kdk,overlap,direct,exact,4,double,31.261893,0.000664,0.000637,29.131282,0.000000,0.001252,2.128020,0.288335,OK,2.7529162115834913e-07
strong,20000,20,1,1,3,kdk,overlap,direct,exact,4,double,31.185768,0.000665,0.000634,29.059955,0.000000,0.001269,2.123209,0.289043,OK,2.1491956776767304e-07
strong,20000,20,1,1,4,kdk,overlap,direct,exact,4,double,31.191439,0.000667,0.000631,29.064873,0.000000,0.001255,2.123978,0.288994,OK,1.6799536963001978e-07
strong,20000,20,1,1,5,kdk,overlap,direct,exact,4,double,31.344845,0.000729,0.000626,29.209168,0.000000,0.001262,2.133023,0.287567,OK,2.4588968941731992e-07
strong,20000,20,2,1,1,kdk,overlap,direct,exact,4,double,16.050646,0.000550,0.000369,14.522106,0.110986,0.000847,1.526854,0.578400,OK,5.2001751410231617e-08
strong,20000,20,2,1,2,kdk,overlap,direct,exact,4,double,16.033996,0.000544,0.000330,14.507241,0.086697,0.000803,1.525131,0.578992,OK,2.7529162242075227e-07
strong,20000,20,2,1,3,kdk,overlap,direct,exact,4,double,16.045545,0.000609,0.000329,14.517645,0.131019,0.000820,1.526279,0.578577,OK,2.1491956725932876e-07
strong,20000,20,2,1,4,kdk,overlap,direct,exact,4,double,16.038907,0.000540,0.000332,14.511574,0.085349,0.000820,1.525732,0.578819,OK,1.6799536963001972e-07
strong,20000,20,2,1,5,kdk,overlap,direct,exact,4,double,16.038522,0.000591,0.000321,14.509405,0.016803,0.000810,1.527432,0.578906,OK,2.4588968890796005e-07
strong,20000,20,4,1,1,kdk,overlap,direct,exact,4,double,8.132339,0.000454,0.000170,7.250960,0.036919,0.000420,0.881902,1.158409,OK,5.2001751664521039e-08
