kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,20000,20,1,1,1,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0056709999999995375,31.191439,0.06969208954967557,29.064873,0.0,0.0,0.288994,1.0,1.0,,True
strong,20000,20,2,1,2,kdk,overlap,direct,exact,4,double,5,0,5,0,0.004910999999999888,16.038907,0.0065557379218521995,14.511574,0.086697,0.05813349942904599,0.578819,1.9447359474058925,0.9723679737029463,,True
strong,20000,20,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0017849999999999255,8.136352,0.004001421784815775,7.253051,0.039723,0.19031795181632807,1.158075,3.8335901642406816,0.9583975410601704,,True
strong,20000,20,8,1,8,kdk,overlap,direct,exact,4,double,5,0,5,0,0.001604000000000383,4.116069,0.0017936697856628689,3.642491,0.023563,0.3743156643890846,2.305999,7.577967959234891,0.9472459949043613,,True
strong,20000,20,16,1,16,kdk,overlap,direct,exact,4,double,5,0,5,0,0.010610999999999926,2.101684,0.01138994002179117,1.841828,0.014187,0.6661027701416791,4.560459,14.841164989598816,0.927572811849926,,True
strong,20000,20,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0016439999999999788,1.0842,0.0021535773726522683,0.943942,0.007983,1.2232243517474632,8.898408,28.76908227264342,0.8990338210201069,,True
strong,20000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.005547999999999997,0.600278,0.007606822989921618,0.498629,0.024547,0.4048713081028231,16.845353,51.96165609934064,0.8119008765521974,,True
weak,2000,20,1,1,1,kdk,overlap,direct,exact,4,double,5,0,5,0,0.002695999999999976,0.321935,0.003562155850043619,0.295443,0.0,0.0,0.284177,1.0,1.0,1.0,True
weak,4000,20,2,1,2,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0033090000000000064,0.657047,0.005017592022075938,0.58665,0.006889,0.14632022064160255,0.5726,0.9799451180813549,0.9799451180813549,1.0204653113206081,True
weak,8000,20,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0005839999999999179,1.3212,0.0033615547444597335,1.168342,0.011446,0.2641970994233794,1.150204,0.9746745382985166,0.9746745382985166,1.0259835059872333,True
weak,16000,20,8,1,8,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0010790000000002742,2.643163,0.0028880051073362184,2.336228,0.015853,0.4450892575537753,2.301002,0.9743931796866104,0.9743931796866104,1.0262797614425272,True
weak,32000,20,16,1,16,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0067230000000000345,5.30432,0.03502274227270059,4.670077,0.022958,0.6585939541771931,4.604491,0.9710877171814674,0.9710877171814674,1.0297730908413187,True
weak,64000,20,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.004279000000000366,10.912477,0.005656727472664131,9.60248,0.03861,0.8093240093240093,8.957546,0.9440496415250177,0.9440496415250177,1.0592663309363692,True
weak,128000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.020175999999999306,22.183823,0.05724318130310392,19.497534,0.118783,0.5346219576875478,17.646401,0.9287776953503462,0.9287776953503462,1.0766839094071783,True
