kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,20000,20,1,1,1,kdk,overlap,direct,exact,4,double,5,0,4,1,0.001782999999999646,31.186381500000003,0.0019853269042315325,29.0284995,0.0,0.0,0.2893565,1.0,1.0,,True
strong,20000,20,2,1,2,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0014809999999982892,16.048572,0.0024708206969885965,14.497772999999999,0.041052500000000006,0.1227696242616162,0.5793705,1.9432496237048382,0.9716248118524191,,True
strong,20000,20,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0021799999999991826,8.147579,0.0029019302541580354,7.256326,0.042992,0.1758466691477484,1.157553,3.827686911658052,0.956921727914513,,True
strong,20000,20,8,1,8,kdk,overlap,direct,exact,4,double,5,0,4,1,0.00032399999999999096,4.11664,0.0003155497847672205,3.639509,0.012635,0.6980609418282548,2.3078885,7.5756883040537915,0.9469610380067239,,True
strong,20000,20,16,1,16,kdk,overlap,direct,exact,4,double,5,0,3,2,6.200000000022854e-05,2.089044,3.700450423050913e-05,1.841107,0.013994,0.6752894097470344,4.562243,14.928542194420034,0.9330338871512521,,True
strong,20000,20,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0007790000000000852,1.047827,0.0017078424400395196,0.918652,0.0068,1.4360294117647059,9.143371,29.762910766758253,0.9300909614611954,,True
strong,20000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.002610000000000001,0.538247,0.004583459686743164,0.466024,0.007174,1.3853325899080011,18.023936,57.94065085360439,0.9053226695875686,,True
weak,2000,20,1,1,1,kdk,overlap,direct,exact,4,double,5,0,4,1,7.20000000000165e-05,0.312026,9.192161515842987e-05,0.290111,0.0,0.0,0.28939950000000003,1.0,1.0,1.0,True
weak,4000,20,2,1,2,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0003340000000000565,0.646512,0.0003318654345765415,0.5825849999999999,0.0036965,0.27269038279453534,0.5765955,0.48262986611230735,0.24131493305615367,1.0359905905277123,True
weak,8000,20,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0006579999999998254,1.312515,0.001079758306289,1.16778,0.004482,0.674698795180723,1.150758,0.23773137830805743,0.05943284457701436,1.051607077615327,True
weak,16000,20,8,1,8,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0011770000000002057,2.6401545,0.000985357633890763,2.3341715,0.012125,0.5819381443298969,2.3030285,0.11818475017276452,0.014773093771595565,1.0576660678917782,True
weak,32000,20,16,1,16,kdk,overlap,direct,exact,4,double,5,0,5,0,0.001008000000000564,5.294914,0.0015644483692344687,4.664683,0.01808,0.836283185840708,4.609816,0.058929380156127184,0.003683086259757949,1.0605915051950798,True
weak,64000,20,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0016329999999999956,10.617243,0.00413686266390361,9.33856,0.041412,0.7545638945233266,9.210698,0.029388608700017513,0.0009183940218755473,1.0633371698191816,True
weak,128000,20,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.00995200000000196,21.289183,0.015332196558223585,18.683978,0.118626,0.5353295230387942,18.414778,0.014656551169671472,0.00022900861202611674,1.0660761743412408,True
