kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,accumulators,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,weak_normalized_time,all_ok
strong,10000,100,1,1,1,kdk,overlap,direct,exact,4,double,5,0,3,2,0.002405000000003099,38.125204,0.0012625689420143313,37.757351,0.0,0.0,0.267471,1.0,1.0,,True
strong,10000,100,2,1,2,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0024119999999996367,19.185717,0.003468151207776209,18.915932,0.027331,0.4434524898466942,0.533888,1.9871659735208227,0.9935829867604113,,True
strong,10000,100,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0023129999999991213,9.637905,0.003471961016485868,9.480819,0.023324,0.7794546389984565,1.065202,3.955756359914317,0.9889390899785793,,True
strong,10000,100,8,1,8,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0024999999999995026,4.828588,0.00390973771498804,4.737199,0.006809,3.114994859744456,2.131849,7.895725209937149,0.9869656512421436,,True
strong,10000,100,16,1,16,kdk,overlap,direct,exact,4,double,5,0,3,2,0.00048099999999973164,2.43549,0.00024911643863853925,2.380188,0.007904,2.8751265182186234,4.242937,15.654017877306002,0.9783761173316251,,True
strong,10000,100,32,1,32,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0004900000000001015,1.26599,0.0004358791881550321,1.211231,0.011171500000000001,2.10536382759701,8.3377915,30.11493297735369,0.9410916555423028,,True
strong,10000,100,64,1,64,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0042919999999999625,0.716578,0.00892251688146345,0.632247,0.020657,1.1606614706879024,15.973176,53.204541585144945,0.8313209622678898,,True
weak,1000,100,1,1,1,kdk,overlap,direct,exact,4,double,5,0,3,2,4.899999999996574e-05,0.387918,3.9878983604562464e-05,0.378513,0.0,0.0,0.266567,1.0,1.0,1.0,True
weak,2000,100,2,1,2,kdk,overlap,direct,exact,4,double,5,0,4,1,0.0007319999999999549,0.777759,0.0008953332247455491,0.7611220000000001,0.001706,1.4208675263774913,0.53053,0.9975275117356405,0.9975275117356405,1.0024786166148516,True
weak,4000,100,4,1,4,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0008730000000001237,1.552438,0.00157441395446057,1.51887,0.002798,2.5989992852037167,1.063683,0.9995065825495124,0.9995065825495124,1.0004936610314552,True
weak,8000,100,8,1,8,kdk,overlap,direct,exact,4,double,5,0,5,0,0.0017939999999998513,3.096957,0.0020743604556585924,3.035266,0.00494,3.434817813765182,2.129366,1.0020623470070782,1.0020623470070782,0.9979418975144232,True
weak,16000,100,16,1,16,kdk,overlap,direct,exact,4,double,5,0,5,0,0.01129099999999994,6.199344,0.011468562608278426,6.075233,0.015953,2.2791951357111517,4.255703,1.0011846414717427,1.0011846414717427,0.9988167602431443,True
weak,32000,100,32,1,32,kdk,overlap,direct,exact,4,double,5,0,5,0,0.008545999999999054,12.402405,0.012401134847262966,12.171377,0.050369,1.4918699994043956,8.497048,1.0008845864975382,1.0008845864975382,0.9991161953041623,True
weak,64000,100,64,1,64,kdk,overlap,direct,exact,4,double,5,0,4,1,0.006555999999999784,24.806778,0.008775947451225374,24.305219,0.0681165,2.2419237629649205,17.020605500000002,1.000805183164053,1.000805183164053,0.9991954646342784,True
