kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,accumulators,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,100000,20,4,1,1,kdk,sendrecv,direct,exact,4,double,210.672719,0.016071,0.000825,196.029700,0.667963,0.001717,14.624664,1.071256,OK,3.2429078463357115e-07
strong,100000,20,4,1,2,kdk,sendrecv,direct,exact,4,double,210.638607,0.011979,0.000822,196.015940,0.607424,0.001890,14.608371,1.071331,OK,4.9355452927658256e-07
strong,100000,20,4,1,3,kdk,sendrecv,direct,exact,4,double,210.216404,0.010786,0.000804,195.576848,0.184564,0.001689,14.626482,1.073736,OK,3.4569224948934165e-07
strong,100000,20,4,1,4,kdk,sendrecv,direct,exact,4,double,210.375343,0.010501,0.000820,195.750013,0.336437,0.001894,14.612532,1.072786,OK,3.4389968929622271e-07
strong,100000,20,4,1,5,kdk,sendrecv,direct,exact,4,double,210.474138,0.011095,0.000805,195.827575,0.447008,0.001669,14.633118,1.072361,OK,3.4105920389640965e-07
strong,100000,20,16,1,1,kdk,sendrecv,direct,exact,4,double,52.995571,0.019967,0.000234,48.947526,0.109870,0.000521,4.028342,4.290266,OK,3.2429078495986598e-07
strong,100000,20,16,1,2,kdk,sendrecv,direct,exact,4,double,52.977983,0.016501,0.000246,48.933869,0.080942,0.000528,4.028583,4.291463,OK,4.9355452992872889e-07
strong,100000,20,16,1,3,kdk,sendrecv,direct,exact,4,double,52.972232,0.022058,0.000244,48.921358,0.083480,0.000501,4.028549,4.292561,OK,3.4569224916184542e-07
strong,100000,20,16,1,4,kdk,sendrecv,direct,exact,4,double,53.168037,0.229011,0.000267,48.910786,0.081782,0.000531,4.028012,4.293489,OK,3.4389968897113093e-07
strong,100000,20,16,1,5,kdk,sendrecv,direct,exact,4,double,53.019579,0.069809,0.000233,48.919420,0.076569,0.000522,4.030062,4.292731,OK,3.4105920373308354e-07
strong,100000,20,64,1,1,kdk,sendrecv,direct,exact,4,double,13.581824,0.225632,0.000045,12.320919,0.094170,0.000146,1.036401,17.044012,OK,3.2429078495986598e-07
strong,100000,20,64,1,2,kdk,sendrecv,direct,exact,4,double,13.447604,0.075670,0.000050,12.334240,0.109518,0.000153,1.037872,17.025605,OK,4.9355452992872889e-07
strong,100000,20,64,1,3,kdk,sendrecv,direct,exact,4,double,13.483803,0.129584,0.000049,12.318361,0.094878,0.000144,1.035991,17.047552,OK,3.4569224916184542e-07
strong,100000,20,64,1,4,kdk,sendrecv,direct,exact,4,double,13.432469,0.086244,0.000046,12.310593,0.085947,0.000142,1.036042,17.058309,OK,3.4389968897113093e-07
strong,100000,20,64,1,5,kdk,sendrecv,direct,exact,4,double,13.426857,0.077102,0.000048,12.313377,0.083813,0.000144,1.036501,17.054452,OK,3.4105920373308354e-07
