kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,1,1,1,kdk,overlap,direct,exact,double,31.117609,0.000686,0.000618,28.963390,0.000000,0.001234,2.151648,0.290007,OK,5.2001752427389305e-08
strong,20000,20,1,1,2,kdk,overlap,direct,exact,double,31.141984,0.000710,0.000623,28.982955,0.000000,0.001238,2.156425,0.289811,OK,2.7529162115834913e-07
strong,20000,20,1,1,3,kdk,overlap,direct,exact,double,31.216268,0.000673,0.000628,29.056170,0.000000,0.001238,2.157524,0.289081,OK,2.1491956776767304e-07
strong,20000,20,1,1,4,kdk,overlap,direct,exact,double,31.490511,0.000677,0.000645,29.313914,0.000000,0.001288,2.173947,0.286539,OK,1.6799536963001978e-07
strong,20000,20,1,1,5,kdk,overlap,direct,exact,double,31.076264,0.000679,0.000635,28.920100,0.000000,0.001266,2.153549,0.290441,OK,2.4588968941731992e-07
strong,20000,20,2,1,1,kdk,overlap,direct,exact,double,16.047922,0.000605,0.000332,14.500289,0.029476,0.000828,1.545982,0.579270,OK,5.2001751410231617e-08
strong,20000,20,2,1,2,kdk,overlap,direct,exact,double,16.049151,0.000555,0.000381,14.500594,0.092319,0.000845,1.546858,0.579258,OK,2.7529162242075227e-07
strong,20000,20,2,1,3,kdk,overlap,direct,exact,double,16.041653,0.000589,0.000360,14.495691,0.009966,0.000881,1.544271,0.579454,OK,2.1491956725932876e-07
strong,20000,20,2,1,4,kdk,overlap,direct,exact,double,16.048833,0.000581,0.000365,14.501912,0.022267,0.000857,1.545214,0.579205,OK,1.6799536963001972e-07
strong,20000,20,2,1,5,kdk,overlap,direct,exact,double,16.050000,0.000580,0.000422,14.502738,0.092207,0.000855,1.545586,0.579172,OK,2.4588968890796005e-07
strong,20000,20,4,1,1,kdk,overlap,direct,exact,double,8.151703,0.000503,0.000181,7.255813,0.048317,0.000458,0.895797,1.157635,OK,5.2001751664521039e-08
strong,20000,20,4,1,2,kdk,overlap,direct,exact,double,8.146585,0.000488,0.000187,7.255348,0.044049,0.000443,0.890977,1.157709,OK,2.7529162229451191e-07
strong,20000,20,4,1,3,kdk,overlap,direct,exact,double,8.151934,0.000489,0.000178,7.259199,0.049579,0.000451,0.892948,1.157095,OK,2.1491956738641485e-07
strong,20000,20,4,1,4,kdk,overlap,direct,exact,double,8.149774,0.000507,0.000192,7.258390,0.023950,0.000444,0.891342,1.157224,OK,1.679953696300197e-07
strong,20000,20,4,1,5,kdk,overlap,direct,exact,double,8.146807,0.000479,0.000173,7.255263,0.047551,0.000512,0.892205,1.157722,OK,2.4588968890796005e-07
strong,20000,20,8,1,1,kdk,overlap,direct,exact,double,4.118561,0.000458,0.000070,3.642633,0.018899,0.000220,0.475431,2.305909,OK,5.2001751664521039e-08
strong,20000,20,8,1,2,kdk,overlap,direct,exact,double,4.114747,0.000516,0.000062,3.638493,0.012836,0.000368,0.475687,2.308533,OK,2.7529162254699258e-07
