kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,all_ok
strong,20000,20,1,1,1,kdk,overlap,direct,exact,double,5,0,4,1,0.06572000000000244,31.1297965,0.05879023374322774,28.9731725,0.0,0.0,0.289909,1.0,1.0,True
strong,20000,20,2,1,2,kdk,overlap,direct,exact,double,5,0,4,1,0.0009109999999985519,16.048992,0.0008584025862033486,14.501253,0.0608415,0.08283819432459752,0.5792315,1.9396730025162954,0.9698365012581477,True
strong,20000,20,4,1,4,kdk,overlap,direct,exact,double,5,0,5,0,0.0021599999999999397,8.149774,0.0025741480726639335,7.255813,0.047551,0.15898719269836595,1.157635,3.8197128533870996,0.9549282133467749,True
strong,20000,20,8,1,8,kdk,overlap,direct,exact,double,5,0,5,0,0.0009619999999994633,4.115614,0.0021854833103914155,3.638493,0.012836,0.687129947023995,2.308533,7.563828021772694,0.9454785027215867,True
strong,20000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,5,0,0.00039499999999970115,2.086893,0.0009119157307558869,1.839149,0.015231,0.6204451447705338,4.567102,14.91681485346877,0.9323009283417981,True
strong,20000,20,32,1,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0017939999999998513,1.04963,0.002021845641981555,0.918751,0.00785,1.2439490445859873,9.142394,29.657876108724025,0.9268086283976258,True
weak,2000,20,1,1,1,kdk,overlap,direct,exact,double,5,0,4,1,8.799999999997699e-05,0.31255449999999996,0.0001830544090336863,0.290604,0.0,0.0,0.28890899999999997,1.0,1.0,True
weak,4000,20,2,1,2,kdk,overlap,direct,exact,double,5,0,5,0,0.0010000000000000009,0.647315,0.0011554477487104432,0.583008,0.003985,0.2529485570890841,0.576177,0.48284760896935797,0.24142380448467898,True
weak,8000,20,4,1,4,kdk,overlap,direct,exact,double,5,0,4,1,0.0005089999999998707,1.3116349999999999,0.0009532369415137947,1.167439,0.0040774999999999995,0.7416309012875538,1.151094,0.23829380887213286,0.059573452218033215,True
weak,16000,20,8,1,8,kdk,overlap,direct,exact,double,5,0,5,0,0.00031200000000009,2.639182,0.0005423940449526005,2.333892,0.010476,0.6735395189003437,2.303305,0.11842855096768619,0.014803568870960774,True
weak,32000,20,16,1,16,kdk,overlap,direct,exact,double,5,0,4,1,0.0003600000000005821,5.294504,0.0006472919871795628,4.66403,0.018517,0.8165469568504619,4.6104605,0.05903376406930658,0.003689610254331661,True
weak,64000,20,32,1,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0034050000000007685,10.615692,0.004087178085182849,9.333888,0.036299,0.8608501611614646,9.215309,0.02944268729725768,0.0009200839780393025,True
