kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,8,4,1,kdk,overlap,direct,exact,double,1.051063,0.000587,0.000069,0.922560,0.006674,0.000109,0.127825,9.104644,OK,5.2001751664521039e-08
strong,20000,20,8,4,2,kdk,overlap,direct,exact,double,1.050171,0.000809,0.000065,0.922184,0.006788,0.000273,0.127038,9.108353,OK,2.7529162254699258e-07
strong,20000,20,8,4,3,kdk,overlap,direct,exact,double,1.055616,0.000460,0.000064,0.923846,0.008180,0.000270,0.131164,9.091972,OK,2.1491956738641485e-07
strong,20000,20,8,4,4,kdk,overlap,direct,exact,double,1.061922,0.000473,0.000265,0.930391,0.014763,0.000105,0.130935,9.028006,OK,1.6799536988577674e-07
strong,20000,20,8,4,5,kdk,overlap,direct,exact,double,1.054202,0.000556,0.000064,0.922774,0.007131,0.000267,0.130707,9.102534,OK,2.4588968890796005e-07
weak,16000,20,8,4,1,kdk,overlap,direct,exact,double,0.674662,0.000573,0.000213,0.592547,0.005937,0.000256,0.081442,9.072134,OK,1.0392502743456506e-07
weak,16000,20,8,4,2,kdk,overlap,direct,exact,double,0.676184,0.000533,0.000066,0.593057,0.004969,0.000259,0.082474,9.064331,OK,9.0997473842476426e-08
weak,16000,20,8,4,3,kdk,overlap,direct,exact,double,0.682276,0.000357,0.000060,0.593234,0.004721,0.000261,0.088602,9.061631,OK,2.1624576134381737e-07
weak,16000,20,8,4,4,kdk,overlap,direct,exact,double,0.675927,0.000422,0.000056,0.593813,0.006043,0.000083,0.081614,9.052788,OK,1.7182310580036813e-07
weak,16000,20,8,4,5,kdk,overlap,direct,exact,double,0.675281,0.000562,0.000234,0.593052,0.004666,0.000255,0.081639,9.064400,OK,3.6269107120304708e-07
