kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,all_ok
strong,20000,20,32,1,32,kdk,overlap,direct,exact,double,5,0,3,2,4.899999999996574e-05,1.047716,4.07962416569597e-05,0.918196,0.007961,1.2266046979022736,9.14792,1.0,1.0,True
weak,64000,20,32,1,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0022189999999984167,10.617349,0.0034557666298522683,9.336312,0.034356,0.9095354523227384,9.212916,1.0,1.0,True
strong,20000,20,16,2,32,kdk,overlap,direct,exact,double,5,0,5,0,0.00044800000000000395,1.056612,0.00047206016565688535,0.928794,0.013132,0.7196162046908315,9.043537,1.0,1.0,True
weak,32000,20,16,2,32,kdk,overlap,direct,exact,double,5,0,4,1,0.0007449999999997736,2.666975,0.0009562413834033713,2.3434605,0.0144845,1.043874486520073,9.1758875,1.0,1.0,True
strong,20000,20,8,4,32,kdk,overlap,direct,exact,double,5,0,5,0,0.003139000000000003,1.054202,0.004661775916965561,0.922774,0.007131,1.2368531762726125,9.102534,1.0,1.0,True
weak,16000,20,8,4,32,kdk,overlap,direct,exact,double,5,0,4,1,0.0006459999999999244,0.675604,0.0006830473385254207,0.5930545,0.0054529999999999995,1.2939666238767653,9.0643655,1.0,1.0,True
strong,20000,20,4,8,32,kdk,overlap,direct,exact,double,5,0,3,2,0.00041900000000016924,1.049966,0.00020955747023995255,0.921212,0.005544,1.3636363636363635,9.117962,1.0,1.0,True
weak,8000,20,4,8,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0005269999999999997,0.175033,0.0005953777792292841,0.152139,0.002629,1.1502472422974515,8.832907,1.0,1.0,True
strong,20000,20,2,16,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0006399999999999739,1.047924,0.0008598563833570938,0.91795,0.003162,1.5939278937381405,9.15037,1.0,1.0,True
weak,4000,20,2,16,32,kdk,overlap,direct,exact,double,5,0,4,1,7.299999999999668e-05,0.047196,0.00010084476519218475,0.039399500000000004,0.000698,1.4441260744985673,8.525873,1.0,1.0,True
strong,20000,20,1,32,32,kdk,overlap,direct,exact,double,5,0,5,0,0.0003930000000000877,1.051467,0.000564904151161931,0.921745,0.0,0.0,9.112697,1.0,1.0,True
weak,2000,20,1,32,32,kdk,overlap,direct,exact,double,5,0,5,0,5.699999999999976e-05,0.014107,5.3213720035344194e-05,0.010536,0.0,0.0,7.968763,1.0,1.0,True
