Test_Type,Config,Time_Sec
Kernel,direct,44.154450
Kernel,direct,44.461221
Kernel,direct,44.317058
Kernel,direct,44.155158
Kernel,direct,44.234173
Kernel,newton,34.755552
Kernel,newton,34.873396
Kernel,newton,34.739632
Kernel,newton,34.732362
Kernel,newton,34.726358
Math,exact,1.812349
Math,exact,1.807788
Math,exact,1.820804
Math,exact,1.806347
Math,exact,1.806870
Math,approx,2.252453
Math,approx,2.252657
Math,approx,2.253265
Math,approx,2.252526
Math,approx,2.254300
Comm,sendrecv,1.806362
Comm,sendrecv,1.805750
Comm,sendrecv,1.806732
Comm,sendrecv,1.805728
Comm,sendrecv,1.805476
Comm,overlap,1.802347
Comm,overlap,1.800745
Comm,overlap,1.799641
Comm,overlap,1.800641
Comm,overlap,1.801948
