N,nsteps,ranks,threads,repeat,energy_every,total,force,energy,status,max_rel_drift
50000,50,8,1,1,1,109.222701,57.253795,51.996556,OK,5.0896519278413319e-07
50000,50,8,1,2,1,109.073974,57.109960,51.971367,OK,5.0896519278413319e-07
50000,50,8,1,3,1,109.103213,57.146293,51.975625,OK,5.0896519278413319e-07
50000,50,8,1,4,1,109.077447,57.117773,51.963808,OK,5.0896519278413319e-07
50000,50,8,1,5,1,109.029275,57.109257,51.925039,OK,5.0896519278413319e-07
50000,50,8,1,1,5,68.336561,57.108328,11.226708,OK,5.0896519278413319e-07
50000,50,8,1,2,5,68.359850,57.126623,11.232259,OK,5.0896519278413319e-07
50000,50,8,1,3,5,68.377076,57.140151,11.233927,OK,5.0896519278413319e-07
50000,50,8,1,4,5,68.381463,57.139226,11.239636,OK,5.0896519278413319e-07
50000,50,8,1,5,5,68.374255,57.133244,11.241148,OK,5.0896519278413319e-07
50000,50,8,1,1,10,63.216227,57.104366,6.110116,OK,4.4465212766764507e-07
50000,50,8,1,2,10,63.131272,57.028367,6.101323,OK,4.4465212766764507e-07
50000,50,8,1,3,10,63.129302,57.025321,6.102160,OK,4.4465212766764507e-07
50000,50,8,1,4,10,63.139841,57.032640,6.105142,OK,4.4465212766764507e-07
50000,50,8,1,5,10,63.422840,57.317713,6.107235,OK,4.4465212766764507e-07
50000,50,8,1,1,50,59.397783,57.321416,2.073498,OK,3.4395763011340617e-07
50000,50,8,1,2,50,59.045229,57.008348,2.034366,OK,3.4395763011340617e-07
50000,50,8,1,3,50,59.095545,57.058422,2.034693,OK,3.4395763011340617e-07
50000,50,8,1,4,50,59.094879,57.048813,2.043537,OK,3.4395763011340617e-07
50000,50,8,1,5,50,59.100674,57.065201,2.032740,OK,3.4395763011340617e-07
