layout,N,threads,repeat,warmups,inner_repeats,rsqrt,force,gpairs,checksum
soa,50000,1,1,2,3,exact,29.0024466,0.258593701,-3.1468516681343317e-10
aos,50000,1,1,2,3,exact,25.9239444,0.28930204,-3.1468516681343317e-10
soa,50000,1,2,2,3,exact,28.9889636,0.258713975,-3.1468516681343317e-10
aos,50000,1,2,2,3,exact,25.9285562,0.289250583,-3.1468516681343317e-10
soa,50000,1,3,2,3,exact,29.0118281,0.25851008,-3.1468516681343317e-10
aos,50000,1,3,2,3,exact,25.984181,0.288631379,-3.1468516681343317e-10
soa,50000,1,4,2,3,exact,28.9882768,0.258720105,-3.1468516681343317e-10
aos,50000,1,4,2,3,exact,25.9771261,0.288709766,-3.1468516681343317e-10
soa,50000,1,5,2,3,exact,29.066979,0.25801959,-3.1468516681343317e-10
aos,50000,1,5,2,3,exact,25.9391129,0.289132864,-3.1468516681343317e-10
soa,50000,2,1,2,3,exact,14.5374416,0.515898891,1.1641532182693481e-08
aos,50000,2,1,2,3,exact,13.0092463,0.576501501,1.1641532182693481e-08
soa,50000,2,2,2,3,exact,14.5802274,0.514384982,1.1641532182693481e-08
aos,50000,2,2,2,3,exact,13.005177,0.576681886,1.1641532182693481e-08
soa,50000,2,3,2,3,exact,14.5334491,0.516040614,1.1641532182693481e-08
aos,50000,2,3,2,3,exact,13.0476659,0.574803959,1.1641532182693481e-08
soa,50000,2,4,2,3,exact,14.5229159,0.516414888,1.1641532182693481e-08
aos,50000,2,4,2,3,exact,13.0122567,0.576368125,1.1641532182693481e-08
soa,50000,2,5,2,3,exact,14.5432946,0.515691265,1.1641532182693481e-08
aos,50000,2,5,2,3,exact,12.9909499,0.577313443,1.1641532182693481e-08
soa,50000,4,1,2,3,exact,7.27326942,1.03115251,7.2177499532699585e-09
aos,50000,4,1,2,3,exact,6.51708727,1.15079785,7.1013346314430237e-09
soa,50000,4,2,2,3,exact,7.27298084,1.03119342,7.2177499532699585e-09
aos,50000,4,2,2,3,exact,6.51085044,1.15190021,7.1013346314430237e-09
soa,50000,4,3,2,3,exact,7.27670894,1.03066511,7.2177499532699585e-09
aos,50000,4,3,2,3,exact,6.51533599,1.15110717,6.9849193096160889e-09
soa,50000,4,4,2,3,exact,7.27391848,1.0310605,7.2177499532699585e-09
aos,50000,4,4,2,3,exact,6.5104762,1.15196643,6.9849193096160889e-09
soa,50000,4,5,2,3,exact,7.27439296,1.03099324,7.2177499532699585e-09
aos,50000,4,5,2,3,exact,6.51539091,1.15109747,6.9849193096160889e-09
soa,50000,8,1,2,3,exact,3.64942234,2.05507867,1.2980308383703232e-08
aos,50000,8,1,2,3,exact,3.27046587,2.2932054,1.280568540096283e-08
soa,50000,8,2,2,3,exact,3.64583749,2.05709937,1.2980308383703232e-08
aos,50000,8,2,2,3,exact,3.26813094,2.29484379,1.3038516044616699e-08
soa,50000,8,3,2,3,exact,3.64838529,2.05566282,1.2398231774568558e-08
aos,50000,8,3,2,3,exact,3.26861744,2.29450223,1.3038516044616699e-08
soa,50000,8,4,2,3,exact,3.64486227,2.05764977,1.3038516044616699e-08
aos,50000,8,4,2,3,exact,3.26890174,2.29430267,1.3038516044616699e-08
soa,50000,8,5,2,3,exact,3.64338622,2.05848338,1.2965756468474865e-08
aos,50000,8,5,2,3,exact,3.27429804,2.29052148,1.3038516044616699e-08
