kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,2,32,1,kdk,overlap,direct,exact,double,0.535781,0.000589,0.000253,0.465308,0.002792,0.000502,0.069143,18.051647,OK,5.2001751664521039e-08
strong,20000,20,2,32,2,kdk,overlap,direct,exact,double,0.537172,0.000648,0.000249,0.468459,0.005690,0.000477,0.067341,17.930220,OK,2.7529162254699258e-07
strong,20000,20,2,32,3,kdk,overlap,direct,exact,double,0.536163,0.000571,0.000255,0.466535,0.003335,0.000498,0.068326,18.004177,OK,2.1491956738641485e-07
strong,20000,20,2,32,4,kdk,overlap,direct,exact,double,0.536742,0.000607,0.000270,0.467917,0.004938,0.000492,0.067474,17.951014,OK,1.6799536988577674e-07
strong,20000,20,2,32,5,kdk,overlap,direct,exact,double,0.537815,0.000563,0.000260,0.466878,0.003631,0.000499,0.069640,17.990940,OK,2.4588968890796005e-07
weak,4000,20,2,32,1,kdk,overlap,direct,exact,double,0.029998,0.000144,0.000193,0.023941,0.002629,0.000385,0.005376,14.031048,OK,1.4061627780351866e-07
weak,4000,20,2,32,2,kdk,overlap,direct,exact,double,0.028638,0.000129,0.000183,0.022349,0.000846,0.000384,0.005602,15.030397,OK,2.0371469389710262e-07
weak,4000,20,2,32,3,kdk,overlap,direct,exact,double,0.033095,0.000129,0.000188,0.023719,0.001818,0.000382,0.008698,14.162207,OK,1.2434984684886537e-07
weak,4000,20,2,32,4,kdk,overlap,direct,exact,double,0.030879,0.000138,0.000183,0.021712,0.000814,0.000374,0.008499,15.471320,OK,1.3350556088024315e-07
weak,4000,20,2,32,5,kdk,overlap,direct,exact,double,0.028248,0.000148,0.000195,0.021940,0.000813,0.000389,0.005624,15.310949,OK,2.5345985694879935e-07
