kind,N,nsteps,ranks,threads,resources,integrator,comm,kernel,rsqrt,dtype,runs,failed_runs,used_runs,outliers,total_mad,total_median,total_stdev,force_median,comm_wait_median,comm_bandwidth_GBps,gpairs_median,speedup,efficiency,all_ok
strong,20000,20,64,1,64,kdk,overlap,direct,exact,double,5,0,5,0,0.0037169999999999703,0.541323,0.006382887301214079,0.471433,0.01199,0.828888740617181,17.817116,1.0,1.0,True
weak,128000,20,64,1,64,kdk,overlap,direct,exact,double,5,0,4,1,0.00931500000000085,21.287865500000002,0.013549725935113244,18.691585,0.1078995,0.5885476763098996,18.4072845,1.0,1.0,True
strong,20000,20,32,2,64,kdk,overlap,direct,exact,double,5,0,3,2,0.0002620000000000955,0.534608,0.0001345263295171125,0.466404,0.004806,2.0318352059925093,18.00924,1.0,1.0,True
weak,64000,20,32,2,64,kdk,overlap,direct,exact,double,5,0,5,0,0.003387000000000029,5.366203,0.006420815547887923,4.707233,0.043381,0.7203153454277217,18.27287,1.0,1.0,True
strong,20000,20,16,4,64,kdk,overlap,direct,exact,double,5,0,4,1,0.0015960000000000418,0.540644,0.002427703647482518,0.473319,0.009142,1.0336906584992342,17.7461295,1.0,1.0,True
weak,32000,20,16,4,64,kdk,overlap,direct,exact,double,5,0,5,0,0.001124000000000125,1.357487,0.0015618837344693673,1.190887,0.017637,0.8572886545330839,18.056566,1.0,1.0,True
strong,20000,20,8,8,64,kdk,overlap,direct,exact,double,5,0,5,0,0.0004129999999999967,0.537852,0.0007466408105642156,0.470583,0.006897,1.2788168769030013,17.849297,1.0,1.0,True
weak,16000,20,8,8,64,kdk,overlap,direct,exact,double,5,0,4,1,0.0007550000000000057,0.3485505,0.0010334316216696047,0.3046255,0.006234999999999999,1.1316760224538893,17.646818500000002,1.0,1.0,True
strong,20000,20,4,16,64,kdk,overlap,direct,exact,double,5,0,5,0,0.0009570000000000967,0.53685,0.0010369592566730971,0.468588,0.005749,1.3150113063141418,17.925305,1.0,1.0,True
weak,8000,20,4,16,64,kdk,overlap,direct,exact,double,5,0,4,1,0.00038599999999999746,0.095013,0.000639143372022269,0.0804535,0.0024085,1.25555324891011,16.7034965,1.0,1.0,True
strong,20000,20,2,32,64,kdk,overlap,direct,exact,double,5,0,5,0,0.0005790000000001072,0.536742,0.0008054062949841268,0.466878,0.003631,1.3880473698705589,17.99094,1.0,1.0,True
weak,4000,20,2,32,64,kdk,overlap,direct,exact,double,5,0,5,0,0.00136,0.029998,0.0019447998097490652,0.022349,0.000846,1.1914893617021276,15.030397,1.0,1.0,True
strong,20000,20,1,64,64,kdk,overlap,direct,exact,double,5,0,5,0,0.0010120000000000129,0.540497,0.0024568688813202976,0.469721,0.0,0.0,17.882071,1.0,1.0,True
weak,2000,20,1,64,64,kdk,overlap,direct,exact,double,5,0,4,1,3.8999999999999105e-05,0.010897500000000001,3.2775753233144196e-05,0.0065025,0.0,0.0,12.9124835,1.0,1.0,True
