Test_Type,Config,Time_Sec
Kernel,direct,44.123917
Kernel,direct,44.128038
Kernel,direct,44.114352
Kernel,direct,44.301277
Kernel,direct,44.115208
Kernel,newton,34.694898
Kernel,newton,34.715338
Kernel,newton,34.749450
Kernel,newton,34.708724
Kernel,newton,34.686446
Math,exact,0.945861
Math,exact,0.935720
Math,exact,0.943831
Math,exact,0.934547
Math,exact,0.945962
Math,approx,1.175884
Math,approx,1.160465
Math,approx,1.166320
Math,approx,1.169543
Math,approx,1.161362
Comm,sendrecv,0.946307
Comm,sendrecv,0.934848
Comm,sendrecv,0.946711
Comm,sendrecv,0.931481
Comm,sendrecv,0.938524
Comm,overlap,0.937171
Comm,overlap,0.928143
Comm,overlap,0.947244
Comm,overlap,0.927939
Comm,overlap,0.941432
