kind,N,nsteps,ranks,threads,repeat,integrator,comm,kernel,rsqrt,dtype,total,io,drift,force,comm_wait,kick,energy,gpairs,status,max_rel_drift
strong,20000,20,1,1,1,kdk,overlap,direct,exact,double,31.217679,0.001045,0.000614,29.045890,0.000000,0.001283,2.168809,0.289183,OK,5.2001752427389305e-08
strong,20000,20,1,1,2,kdk,overlap,direct,exact,double,31.410236,0.000710,0.000617,29.238419,0.000000,0.001246,2.169209,0.287279,OK,2.7529162115834913e-07
strong,20000,20,1,1,3,kdk,overlap,direct,exact,double,31.205911,0.000721,0.000640,29.046729,0.000000,0.001280,2.156505,0.289175,OK,2.1491956776767304e-07
strong,20000,20,1,1,4,kdk,overlap,direct,exact,double,31.207836,0.000675,0.000628,29.048135,0.000000,0.001253,2.157110,0.289161,OK,1.6799536963001978e-07
strong,20000,20,1,1,5,kdk,overlap,direct,exact,double,31.386017,0.000681,0.000629,29.214534,0.000000,0.001282,2.168858,0.287514,OK,2.4588968941731992e-07
strong,20000,20,2,1,1,kdk,overlap,direct,exact,double,15.983649,0.000561,0.000345,14.434562,0.046700,0.000776,1.547518,0.581907,OK,5.2001751410231617e-08
strong,20000,20,2,1,2,kdk,overlap,direct,exact,double,15.988752,0.000549,0.000329,14.439719,0.021806,0.000817,1.547329,0.581700,OK,2.7529162242075227e-07
strong,20000,20,2,1,3,kdk,overlap,direct,exact,double,15.995187,0.000528,0.000322,14.440052,0.018948,0.000843,1.553551,0.581686,OK,2.1491956725932876e-07
strong,20000,20,2,1,4,kdk,overlap,direct,exact,double,15.976771,0.000530,0.000330,14.429821,0.025404,0.000837,1.545286,0.582099,OK,1.6799536963001972e-07
strong,20000,20,2,1,5,kdk,overlap,direct,exact,double,15.969891,0.000554,0.000338,14.424721,0.016695,0.000841,1.543518,0.582305,OK,2.4588968890796005e-07
strong,20000,20,4,1,1,kdk,overlap,direct,exact,double,8.187172,0.000458,0.000182,7.290764,0.046370,0.000435,0.896125,1.152085,OK,5.2001751664521039e-08
strong,20000,20,4,1,2,kdk,overlap,direct,exact,double,8.177517,0.000484,0.000183,7.282079,0.057941,0.000424,0.895483,1.153459,OK,2.7529162229451191e-07
strong,20000,20,4,1,3,kdk,overlap,direct,exact,double,8.180247,0.000473,0.000182,7.285791,0.039563,0.000433,0.894470,1.152871,OK,2.1491956738641485e-07
strong,20000,20,4,1,4,kdk,overlap,direct,exact,double,8.171019,0.000457,0.000181,7.277393,0.053030,0.000431,0.893039,1.154202,OK,1.679953696300197e-07
strong,20000,20,4,1,5,kdk,overlap,direct,exact,double,8.186393,0.000500,0.000188,7.291852,0.050486,0.000441,0.894508,1.151913,OK,2.4588968890796005e-07
strong,20000,20,8,1,1,kdk,overlap,direct,exact,double,4.189079,0.000527,0.000068,3.706061,0.075464,0.000221,0.483423,2.266444,OK,5.2001751664521039e-08
strong,20000,20,8,1,2,kdk,overlap,direct,exact,double,4.180503,0.000579,0.000073,3.697279,0.061872,0.000220,0.483179,2.271827,OK,2.7529162254699258e-07
strong,20000,20,8,1,3,kdk,overlap,direct,exact,double,4.210871,0.000495,0.000070,3.723982,0.094146,0.000222,0.490136,2.255537,OK,2.1491956738641485e-07
strong,20000,20,8,1,4,kdk,overlap,direct,exact,double,4.199079,0.000471,0.000063,3.712141,0.082565,0.000227,0.488380,2.262732,OK,1.6799536988577674e-07
strong,20000,20,8,1,5,kdk,overlap,direct,exact,double,4.194994,0.000465,0.000070,3.709976,0.078572,0.000218,0.485456,2.264052,OK,2.4588968890796005e-07
strong,20000,20,16,1,1,kdk,overlap,direct,exact,double,2.143835,0.000590,0.000033,1.890330,0.055100,0.000125,0.253668,4.443447,OK,5.2001751664521039e-08
strong,20000,20,16,1,2,kdk,overlap,direct,exact,double,2.142226,0.000923,0.000038,1.889390,0.062772,0.000117,0.252616,4.445657,OK,2.7529162254699258e-07
